ASSOC_ID,FEATURE,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_FEATURE_neg,N_FEATURE_pos,FEATURE_pos_logIC50_MEAN,FEATURE_neg_logIC50_MEAN,FEATURE_delta_MEAN_IC50,FEATURE_IC50_effect_size,FEATURE_neg_Glass_delta,FEATURE_pos_Glass_delta,FEATURE_neg_IC50_sd,FEATURE_pos_IC50_sd,FEATURE_IC50_T_pval,ANOVA_FEATURE_pval,ANOVA_TISSUE_pval,ANOVA_MSI_pval,ANOVA_MEDIA_pval,ANOVA_FEATURE_FDR
1,ERBB2_up,1032,Afatinib,"ERBB2, EGFR",777,27,-0.6408501481481481,1.8074040823680821,-2.4482542305162305,1.674571095662447,1.714980118523636,1.0832074439665043,1.4275700365691957,2.2601896286376864,5.992784847778036e-17,9.488773224873658e-16,8.106270972390877e-21,0.061511462872710865,,2.784954941500419e-10
2,ERBB2_gain,1032,Afatinib,"ERBB2, EGFR",771,33,-0.39732603030303026,1.8160334332036314,-2.2133594635066616,1.5133011109613013,1.5524748186908783,1.020494539322488,1.4256974972212901,2.168908679292026,8.294259267729993e-17,1.8984443598208636e-14,1.285045107413814e-20,0.06250314391429022,,2.7859670980371173e-09
3,IKZF3_gain,1032,Afatinib,"ERBB2, EGFR",763,41,0.1447676829268293,1.8101108034076017,-1.6653431204807725,1.123294303965648,1.1650325743753318,0.7342398222764068,1.4294391050599573,2.2681187671319862,5.169492270192917e-12,2.9108343848457654e-10,5.496296507031957e-20,0.06574351998257982,,2.8477663065074403e-05
4,CDK12_gain,1032,Afatinib,"ERBB2, EGFR",775,29,0.0009407586206897021,1.7897067561290325,-1.7887659975083428,1.2002742620928217,1.2231913844739262,0.8432371061216175,1.4623762235520164,2.121308448741764,3.692118264712346e-10,3.780900571695942e-08,1.124083663364263e-19,0.06740391819612641,,0.0027742357944818977
5,RARA_gain,1032,Afatinib,"ERBB2, EGFR",790,14,-0.41903364285714284,1.7631854291139242,-2.1822190719710672,1.4545437179568665,1.465875168922245,1.045732056034501,1.488680017395683,2.0867860551642794,9.034406410644687e-08,1.802176396781889e-07,1.4099076141971005e-19,0.06793894898209808,,0.010578775449109687
6,PTK6_up,1032,Afatinib,"ERBB2, EGFR",761,43,0.7691788604651162,1.779205423127464,-1.010026562662348,0.6687975928511593,0.7056605000721801,0.3967766711475466,1.4313208158300417,2.545579506328275,2.220590048655685e-05,2.4333248945065066e-06,2.0490308621639446e-19,0.06883174308537048,,0.11903014275627662
7,ZEB1_dn,1032,Afatinib,"ERBB2, EGFR",647,157,1.094187904458599,1.878303735703246,-0.784115831244647,0.52441820786044,0.5600442670239211,0.4267529812614178,1.4000961663467135,1.837399773815096,5.530635007316176e-09,3.039918530412457e-06,2.1150829585391507e-19,0.06890808704126483,,0.1274594412394366
8,CCR7_gain,1032,Afatinib,"ERBB2, EGFR",790,14,0.04557600000000001,1.754951840506329,-1.7093758405063288,1.131467779709453,1.1388345991543256,0.847436736588083,1.5009869227503934,2.017113215304486,3.0130567656755522e-05,4.118176714582342e-06,2.208475541462072e-19,0.06901220375907977,,0.15108560821623968
9,AKT1_up,1032,Afatinib,"ERBB2, EGFR",764,40,0.900058825,1.7683869960732985,-0.8683281710732985,0.5729600266859192,0.5874756273949108,0.40979563125410506,1.478066715590899,2.1189297904810207,0.0004352966931684561,1.9057239222190872e-05,2.743178528218886e-19,0.0695371946309608,,0.6214777457458912
10,CDK12_up,1032,Afatinib,"ERBB2, EGFR",771,33,0.5400057575757575,1.7759141738002595,-1.235908416224502,0.8198964235143565,0.8326657906006686,0.6229303942607474,1.4842790831276282,1.9840232995713694,4.634313904876501e-06,0.00012688592203473185,3.575625992001826e-19,0.0701847263332784,,3.640745256112309
11,SMARCE1_gain,1032,Afatinib,"ERBB2, EGFR",788,16,0.425585875,1.751574421319797,-1.3259885463197971,0.8746858097362846,0.8832618405857006,0.6163575289340318,1.5012406122294604,2.151330168081254,0.0005609385596823853,0.00013645041845736084,3.6118355250284383e-19,0.07020947170592595,,3.640745256112309
12,CBL_dn,1032,Afatinib,"ERBB2, EGFR",779,25,0.6423139600000001,1.7599385994865213,-1.1176246394865212,0.737776349652366,0.7479261987847328,0.5389594016417902,1.4942980220541715,2.073671293388682,0.0003001631515550487,0.00017891622845060679,3.7498769641362736e-19,0.0703016676324301,,3.8433505361308384
13,MUC4_up,1032,Afatinib,"ERBB2, EGFR",697,107,1.15764276635514,1.8123131162123387,-0.6546703498571986,0.4332865826805297,0.4491444382269991,0.3591485497624852,1.4575942483925983,1.8228400206269804,3.333678860323478e-05,0.0001831612816366875,3.762051583372324e-19,0.07030964144704195,,3.8433505361308384
14,BCL2L1_up,1032,Afatinib,"ERBB2, EGFR",788,16,2.9201644374999995,1.7009230799492385,1.219241357550761,0.8033422398618146,0.8082256175099589,0.6288208823585745,1.5085408469321842,1.9389326782177523,0.0015229247241849192,0.00019017111006401906,3.781627368503273e-19,0.07032241075651838,,3.8433505361308384
15,SH2B3_dn,1032,Afatinib,"ERBB2, EGFR",784,20,0.4619617000000001,1.757411714285714,-1.295450014285714,0.8557390964453947,0.8570957311449939,0.8048851824110613,1.5114414495509418,1.6094842377457474,0.0001690675848273879,0.00019642336641213825,3.7985638994634416e-19,0.07033340724660046,,3.8433505361308384
16,ERRFI1_up,1032,Afatinib,"ERBB2, EGFR",799,5,3.8931154,1.7116200763454317,2.1814953236545684,1.4374892457493926,1.4406843099946023,1.0473117819275617,1.5142077334504613,2.0829473718318714,0.0014073785475802623,0.0003614037235575565,4.1312381687338017e-19,0.07054034561325982,,6.629499554008928
17,PER1_loss,1032,Afatinib,"ERBB2, EGFR",791,13,0.310790076923077,1.7484320442477876,-1.4376419673247107,0.9480451556790025,0.9550891312095605,0.6758853685332121,1.5052437729073802,2.1270499913981595,0.0007318243363928641,0.0004379441420675422,4.24148684687417e-19,0.07060539734782371,,7.560976805695509
18,AURKB_loss,1032,Afatinib,"ERBB2, EGFR",792,12,0.2910179166666667,1.7469164179292929,-1.4558985012626262,0.959725820098139,0.967440900175633,0.6556969752409366,1.504896579210489,2.2203831285444844,0.001010658070671426,0.0006985012074425625,4.520734904054923e-19,0.07076315279506255,,11.385232290197523
19,NAB2_up,1032,Afatinib,"ERBB2, EGFR",788,16,2.70768275,1.70523742893401,1.00244532106599,0.6591520358564505,0.6655491325443106,0.4656549289907447,1.5061928143963883,2.1527643296693517,0.00921664939975835,0.0007370337768782042,4.553904753135259e-19,0.07078126437959746,,11.385232290197523
20,SOX17_loss,1032,Afatinib,"ERBB2, EGFR",799,5,-0.12552579999999997,1.7367680187734669,-1.8622938187734668,1.2250273510925227,1.2341550303196935,0.6171560237817525,1.5089626286991362,3.0175413461281186,0.006458453113394593,0.0008581513754246302,4.649090206817769e-19,0.07083254172093041,,11.628415811471001
21,TMPRSS2_up,1032,Afatinib,"ERBB2, EGFR",639,165,1.3866380484848484,1.8126052269170576,-0.4259671784322092,0.2807009410255796,0.3178753051578713,0.20600301384428713,1.3400448903089675,2.0677715849059757,0.0013591800984793065,0.0008705641314790967,4.658166868661863e-19,0.0708373785162146,,11.628415811471001
22,KRAS_mut,1032,Afatinib,"ERBB2, EGFR",677,127,2.187151858267717,1.6385254534711964,0.5486264047965206,0.36235435678023853,0.3519162382088928,0.4403868934168161,1.5589687125231864,1.2457827719165526,0.00019167245215292477,0.0009329306663782174,4.702121792239822e-19,0.0708606737496116,,11.628415811471001
23,CD28_mut,1032,Afatinib,"ERBB2, EGFR",785,19,0.7385436842105262,1.7490671184713376,-1.0105234342608114,0.6650349686526851,0.6734975431095287,0.460269338737438,1.5004114634111936,2.1955045648549434,0.004287610457685638,0.0009803946557375163,4.733877093320743e-19,0.0708773733859706,,11.628415811471001
24,LEF1_loss,1032,Afatinib,"ERBB2, EGFR",801,3,-1.178060333333333,1.7360601735330836,-2.914120506866417,1.9211525449281122,1.9321634728350965,0.8157768102436481,1.508216332539647,3.572203169143845,0.0009364557198185068,0.0009804498355994297,4.733913218124911e-19,0.07087739232199422,,11.628415811471001
25,CBLC_up,1032,Afatinib,"ERBB2, EGFR",747,57,0.894427649122807,1.7885778340026774,-0.8941501848798704,0.5922018966136593,0.606178605195746,0.46712330097103427,1.475060612855403,1.9141630978826198,1.8385237211988907e-05,0.0009904953842820273,4.740460219627746e-19,0.07088082185743659,,11.628415811471001
26,ARID2_dn,1032,Afatinib,"ERBB2, EGFR",788,16,0.6983888749999999,1.7460352741116751,-1.0476463991116751,0.6891437324088795,0.6953154299273125,0.4964081876818549,1.5067210564005387,2.1104535040084906,0.00649162794229941,0.0010582032984090704,4.783125987800331e-19,0.07090306056591342,,11.744533804557001
27,PIK3R3_dn,1032,Afatinib,"ERBB2, EGFR",793,11,3.1435425454545456,1.7055120428751578,1.4380305025793878,0.9472751343798494,0.9474587423783472,0.9330639258050399,1.5177763825046235,1.5411918334948667,0.001872050931754387,0.001080417079124494,4.796601942340307e-19,0.07091004498424022,,11.744533804557001
28,BCOR_dn,1032,Afatinib,"ERBB2, EGFR",794,10,0.2549778,1.743703073047859,-1.488725273047859,0.9805238201371881,0.9860554980399463,0.6958065846892044,1.5097783806358829,2.139567669818513,0.002131096679361459,0.0011410200779606277,4.832165953548523e-19,0.07092838707171929,,11.770231443297819
29,NCOA2_loss,1032,Afatinib,"ERBB2, EGFR",801,3,-1.1557659999999998,1.7359766741573033,-2.891742674157303,1.9061992614212404,1.9169883672950379,0.8135569262430588,1.5084821188757083,3.554444170872149,0.0010257364570316716,0.0011949983825958028,4.86247110170413e-19,0.0709439146685618,,11.770231443297819
30,PLAG1_loss,1032,Afatinib,"ERBB2, EGFR",797,7,0.01235585714285722,1.7402302722710161,-1.7278744151281589,1.1376752972350928,1.1451152031963816,0.6900336621949837,1.5089088069961087,2.504043657278724,0.002811738299501535,0.001203090096418857,4.866909893599957e-19,0.07094618116999638,,11.770231443297819
