COSMIC_ID,Drug_1032_IC50
909751,0.133547
909749,2.43623
905962,2.059271
910927,2.97682
1299070,2.184191
909773,2.200839
687588,3.072549
905976,2.172654
753583,4.560513
906820,1.490804
905977,2.937949
906805,-3.174215
1330993,1.962553
909704,2.310117
908445,3.198008
949178,1.487718
905967,-2.541096
909740,1.932158
909718,0.479285
684072,1.477858
905971,1.238943
687787,2.602383
724863,2.343568
910705,0.87739
683665,1.985442
1240132,3.684608
1240135,2.798633
905938,1.82684
910702,3.812228
907320,-0.91488
906800,0.284832
909248,2.244037
910401,0.922963
909697,2.013882
949156,1.738487
684059,1.324358
949160,1.542482
908476,1.305347
687812,2.275246
687821,6.539095
908146,0.783697
908461,-5.065411
1298151,2.302956
1240183,1.170383
1330972,1.663903
1240140,-0.759309
907062,2.130599
908122,1.422163
1298352,7.281394
687829,1.742268
907285,2.65722
909249,2.02698
910852,2.761687
1299081,1.741272
909738,2.016491
910906,0.63024
687586,2.715805
1660035,2.43419
1674021,2.151734
1659928,0.696727
1298219,3.291924
905979,3.117762
910951,1.307074
910936,-1.707964
906870,0.618951
1290808,3.410427
687600,2.084233
946360,2.754354
1480372,2.51212
1240185,2.504531
1327775,1.44276
910688,1.198387
910934,1.047715
906838,0.584276
907278,1.903706
925348,1.976819
753608,-2.867584
1480371,4.588478
713899,1.036823
924241,4.543692
908152,4.485798
949177,1.032849
907279,3.39062
910691,1.803907
687777,-0.567689
753618,1.140955
1298216,2.149027
684062,1.430359
909721,4.613885
906871,1.847115
1240218,4.460351
1331033,0.774999
909744,-1.796016
909748,0.690755
687459,3.607205
909780,3.042369
713869,3.054388
1330995,1.732384
1240209,1.746373
1331032,0.979612
753547,0.742601
907000,2.343699
906873,0.537213
908451,1.243665
753551,2.095463
905947,1.344344
906844,1.666176
911905,3.355526
909722,1.005641
907073,0.804721
907790,1.086108
1240138,4.327257
907056,2.521315
907057,2.470674
909976,1.735724
910687,1.562766
905970,0.07761
906861,0.890994
949166,3.332497
910932,2.107595
924151,3.492295
907072,0.843888
1240154,2.079097
908134,2.252023
724855,2.724714
924240,2.336167
924104,2.009187
1240157,1.829791
910784,2.348975
1240142,0.600643
749715,0.721975
1240146,-2.411906
1290455,0.954069
1240198,1.571692
946382,3.289331
924238,2.800145
905949,1.029003
905950,0.114957
1240200,-2.340789
1503371,-2.976919
908151,1.605275
1240179,2.49853
909707,2.271831
905974,1.268113
753556,0.47334
1240155,2.134321
907276,6.073375
1330935,0.611671
946359,-0.840938
908123,0.678318
688001,0.442019
906856,0.789232
1330942,1.232252
909907,-1.255299
687448,4.240014
907170,1.120684
906795,2.101497
1298538,-0.343643
753565,0.411454
688006,2.03659
688013,0.472601
946368,2.994719
909905,2.042245
1298534,3.60469
1298533,3.096999
906843,0.809043
907051,2.938099
909774,2.616018
910849,2.298482
1298157,2.082025
909746,1.773785
909737,1.990983
910952,-0.680052
946361,1.700993
909777,0.814469
687590,3.954576
906827,1.388827
1303912,1.886753
1240124,1.611834
910924,0.652471
910546,2.324686
687506,0.871875
1299050,-1.939067
908444,1.704433
1297447,1.88268
907795,0.03817
906821,0.409258
