Source	Target	Relation
EDNRA	NBN	+
TGFB1	TGFB1	-
EIF5B	RPL11	+
AR	UBE3A	0
PIK3CB	PREX1	+
PRKACG	CTNNB1	+
ADRBK1	ADRB3	+
ITGA2B	ACTN4	0
MCM7	UBE3A	-
CD4	ITK	+
STAT3	MYC	+
ZBTB17	NDRG2	-
CSNK2B	NFKBIA	-
CHRM1	GNA14	+
GNB3	PIK3R5	+
SHB	SRC	0
EPOR	IRS2	+
VWF	ITGA8	+
RPL8	RPS19	0
CDK4	RPA2	+
HES1	ID4	0
FOXA2	UCP2	+
SHB	PIK3CA	+
MAPKAPK5	BCL3	+
IL1B	IFNB1	+
ITGB8	PLAUR	0
ITGAV	PLAUR	0
HSPB1	PSMD7	0
ADORA2B	IL6	+
PRKCZ	NFATC3	+
PRKAR2A	LPAR3	+
RAET1G	KLRK1	+
WNT3	FZD10	+
HLA-F	CD8B	+
PPARA	CYP7A1	+
PSMA4	PSMD8	0
GNAI1	BRAF	+
ARNT	TF	+
PSMD3	PAAF1	0
TPH1	GPR119	+
RAF1	PPP1R8	+
NPPC	NPPA	-
TRAF6	MAP3K5	0
CSNK1E	ASAP3	+
EIF3J	EIF3I	0
RPSA	RPS11	0
LAMA2	ITGB4	+
ITGB3	PRKCB	0
POLD1	RPA1	+
UCHL5	PSMB9	0
TRIM28	MDM2	0
SLC18A2	SNAP25	+
TGFBR2	CSDC2	+
LYN	EPHA3	-
IL23A	IL12RB1	+
DVL3	CAMK2A	0
PRKCB	RHOA	+
EFNB1	LCK	+
PSMA8	CDC16	+
FLT3	KITLG	0
NOTCH2	PSEN2	0
TP53	PLK4	-
ARHGAP5	PKN1	+
HDAC5	HIST2H4A	+
WNT11	GNAS	+
RPL39	RPS14	0
GADD45A	CCNB2	-
PLD1	PRKCA	+
CDC16	ANAPC4	+
PRKACA	FN1	+
IL1R1	RELA	+
WEE1	EIF4ENIF1	+
RPS25	RPS18	0
UBQLN1	PSMA6	0
CFLAR	RIPK1	-
DOK1	MS4A2	0
CD247	CBL	+
MRPS7	RPL34	0
SNCA	PPP2R5D	+
DOK6	GDNF	0
PSMC1	PSMD7	0
PAK2	MAPK14	+
UBC	RPS2	0
NGF	RASA1	+
MEN1	NFKB1	-
GTF2H3	GTF2H4	0
SP3	CA9	+
RBBP7	H3F3A	-
CASP6	NUMA1	+
JUN	IFNG	+
EIF2S3	RPS13	0
ABL2	HLCS	+
NGF	RHOC	-
NUTF2	KPNA2	0
DAG1	NCK1	0
CCND3	RBL2	-
EDNRB	GNB1	0
RXRG	PAX8	0
PTPN6	CD22	0
OSM	CXCL10	+
PDGFA	FGFR1	+
RPSA	RPS19	0
IL2RG	ETS1	+
LYN	PIK3R2	+
CLDN17	CLDN9	0
UBR1	ANAPC10	+
WNT16	FZD10	+
AKT1	IRS1	+
TSGA14	CEP57	0
SRF	ST13	0
IFNG	LPL	-
RPS11	RPS23	0
CSNK2B	BMPR2	0
FZD3	NFATC2	+
NUP153	MAGOH	+
EP300	ARNT	0
POU4F2	CCND1	+
EDN1	MBP	+
PIK3CG	AKT2	+
FGF21	SOS1	0
PSMD1	CUL5	+
CACNA1H	CACNB4	0
CCL15	CXCR5	+
RPLP2	RPS3A	0
PRKCI	NCL	+
PSME3	UBR1	0
ADRA1A	GNAQ	+
ITGB4	TLN1	0
RPSA	RPS3	0
NUPL2	XPO1	+
ERCC2	XPA	0
ITGA7	ADAM12	0
SORBS1	RHOQ	+
YES1	PDGFRB	+
MAPKAPK5	MAPK12	+
THBS1	VCAM1	+
DYNLL1	AKAP9	0
CD79B	RPS6KB1	+
YY1	GDAP1	+
MXD1	TERT	-
PSMA6	CDC26	+
CBLC	KDR	-
CBLB	LOC652799	-
ITGAM	ICAM1	+
HSPG2	DAG1	+
FOXA2	CPT1A	+
MAP2K1	PLA2G4A	+
UBC	RPS28	0
SMURF1	CSF1R	-
TBXA2R	GNB5	-
DVL2	NOTCH3	-
EIF4B	RPS6KB1	+
BTK	CD79B	0
PRKACG	RAP1A	+
PSMD8	PSMB5	0
IDE	UBE2D1	+
GAL	TH	-
MAPK8	NAIP	-
CCL4L1	CCR5	+
SMAD3	RBL1	+
CSNK2A2	CDH1	+
FANCF	FANCF	+
CD247	PRKCQ	+
SNRPA	SNRPG	0
FGFR4	RIPK3	+
PTBP2	EIF4G2	0
HLA-DRB1	LCK	0
FLT4	PIK3R3	+
PSME4	IDE	0
ITGAV	VASP	0
PRKACA	RPH3A	+
SRP68	SRP72	0
RASGRP3	CACNA1E	0
NOTCH4	RBPJL	+
CARM1	EP300	0
RPS5	RPS21	0
WNT7B	LRP5	+
ZAP70	PLCG1	0
GNAL	ADCY6	+
NGF	CASP6	+
PAK1	OTUD7B	+
FANCL	FANCA	0
RPL11	RPL37	0
GCG	GLP2R	+
C19orf40	FANCF	+
THY1	ARHGAP5	-
MAPK10	IRS2	-
GNAI3	CD3D	-
PCNA	POLL	+
PECAM1	PXN	+
POLR2C	SMAD3	-
LPP	VASP	+
EIF6	RPL14	+
CD40LG	CD4	+
PAK1	GRK5	+
ACTN1	BCAR1	0
CDK7	ZCCHC8	+
GNAO1	HLA-DRB1	-
RPS11	EIF3A	0
RPL5	RPS25	0
JAK2	PIK3CD	+
AKT1	NFATC3	+
CREBBP	HDAC2	0
ERBB2	PIK3CB	+
AZI1	DYNC1H1	0
PRKACA	CRIP2	+
CDK5RAP2	NDE1	0
SRC	PTK2B	+
HSP90AB1	IKBKE	0
LPL	A2M	-
HBA2	RPS8	0
FER	PTPN11	+
F2	CCR3	0
ADRBK1	CHRM1	+
NTRK1	AGAP2	+
SMAD5	SMAD5	0
IL12B	CCL3	+
LAT	CD4	0
PSAP	AR	+
PRKAR1A	CXCL12	0
ARNT	PFKL	+
CER1	WNT9B	-
MAP2K7	FAS	-
GLI3	BMP8A	+
APOE	VLDLR	+
CBL	KIT	-
IFNA2	PSME3	+
IL4	TNFSF11	-
TNFRSF1A	SMPD1	+
PKN2	NCK2	0
YWHAE	SDCCAG8	0
ARHGEF4	RAC1	+
COMP	ITGA2	+
ITGAV	ITGB8	0
PRKAR2A	PRKAR2B	0
CCL11	PRKAR1A	0
CBL	ITGA7	-
FGR	SYK	0
CDK1	ERCC6L	+
TRAF2	RIPK1	0
S1PR1	MAPK3	+
VTN	FLT4	+
AGA	GNB1	0
ARNT	SMAD4	0
CPSF3	PAPOLA	0
IL2RB	TYK2	+
IRF1	HSP90AA1	-
ANP32A	CASP3	+
CLDN15	CLDN5	0
IL2RG	IKZF3	-
PLEKHM1	DICER1	-
KLC1	SPAG9	0
MYC	CEBPD	-
CREBBP	HIF1A	0
MARCKS	PKN1	+
CSNK1G1	ATP2B1	+
CDC14B	ANAPC7	-
ILK	PRKACA	+
JUN	CDK4	+
CFH	SELL	+
NPY	IL4	+
CRKL	ZAP70	0
CCL20	XCR1	+
MAP3K6	MAP2K6	+
NUP153	GCKR	+
MAPK3	TSC2	-
IRF1	EDN1	+
CD3G	CD247	0
CD19	PIK3CA	+
HERPUD1	PTGES2	+
UBA52	RPS7	0
FN1	ITGA10	+
MRPS7	RPS8	0
RPS6KA4	PRKACB	+
PSMD11	BTRC	+
TGFBR1	TGFBR3	-
COPS5	LDHA	+
RPL6	RPL23A	0
RPS3A	RPS17	0
ESPL1	SMC1B	-
CDKN1B	PTGES3	-
PSMA6	PSMB2	0
NINL	YWHAG	0
PLK1	DYNC1I2	0
ERBB2	NRG1	0
SH2B2	KIT	0
TNC	ITGB1	+
GRAP	INPPL1	0
RHOF	ST6GAL1	+
LIFR	TYK2	+
VIP	F3	+
XCL2	CXCR2	+
PPP3R1	CDC16	+
MYC	CTCF	+
SIK1	SFN	0
EDNRA	RAC1	+
GRB10	SRC	0
NGF	CRK	+
PSMA3	CDC16	+
ADRBK2	CXCR2	+
RPS15	RPS9	0
RPL34	RPS29	0
SMAD3	PAX6	-
RPS6KB1	SMARCE1	+
DYNLL1	MAPRE1	0
TIAM2	PIK3R1	0
PIP5K1B	GSN	+
CXCL9	CCR9	+
EIF1AX	RPS8	+
CEP152	CEP290	0
HLA-DRA	LCK	0
BAMBI	TGFBR2	-
MAPK1	FGF10	-
CSF1R	SH3GL3	0
NUP88	SNRPB	+
WNT8B	FZD2	+
RPL23A	RPS21	0
NKD1	JUN	+
ITGAE	CSK	+
HIPK4	ARAP1	+
LOC100290337	ERCC5	0
ANAPC1	ANAPC4	+
BDNF	CRKL	+
CACNG2	RASGRF1	0
PSMA2	PAAF1	0
NFKB1	VEGFC	+
RPS6KA1	RXRG	+
CBLC	NTRK1	-
UBE3A	PSME2	0
INPP5D	CD22	0
FZR1	AURKA	+
GAPDH	CREBBP	+
GATA4	EPHX1	+
ADRBK2	CCR6	+
PARK2	KIF11	-
WWP1	RNF11	-
LYN	HNRNPK	+
FGF10	IGF1R	+
NPHS1	NPHS2	0
SUCLA2	PARP1	+
MAP2	BRAF	+
ADAM17	CD40	+
NTRK2	NTF4	0
IFNGR1	CAMK2A	+
MAX	EIF2S1	+
TRB@	IL2RG	+
RHOA	SHC3	-
NEK2	HCLS1	+
YWHAG	CEP250	0
AR	RUNX2	0
UCHL5	ANAPC10	+
RPS4Y1	RPS8	0
RASGRF2	RRAS2	+
PRKAB1	ACACB	-
CLK2	ZIC4	+
CAPN1	ACTN3	0
IL2	CRK	+
TCF7L2	MYC	+
CLDN7	TJP2	0
BMP2	TGFB3	+
TRIP12	PSMB9	0
RPS6KA1	IKBKG	+
DYNLL1	AZI1	0
IL12A	JAK2	+
LCP2	MAP3K1	+
GPI	AMFR	+
SENP1	GAB2	0
ODF2	CEP57	0
CREB5	EP300	-
ARPC1B	ARPC4	0
MLLT4	RAP1B	0
