EDNRA	NBN
EIF5B	RPL11
AR	UBE3A
PIK3CB	PREX1
PRKACG	CTNNB1
ADRBK1	ADRB3
ITGA2B	ACTN4
MCM7	UBE3A
CD4	ITK
STAT3	MYC
ZBTB17	NDRG2
CSNK2B	NFKBIA
CHRM1	GNA14
GNB3	PIK3R5
SHB	SRC
EPOR	IRS2
VWF	ITGA8
RPL8	RPS19
CDK4	RPA2
HES1	ID4
FOXA2	UCP2
SHB	PIK3CA
MAPKAPK5	BCL3
IL1B	IFNB1
ITGB8	PLAUR
ITGAV	PLAUR
HSPB1	PSMD7
ADORA2B	IL6
PRKCZ	NFATC3
PRKAR2A	LPAR3
RAET1G	KLRK1
WNT3	FZD10
HLA-F	CD8B
PPARA	CYP7A1
PSMA4	PSMD8
GNAI1	BRAF
ARNT	TF
PSMD3	PAAF1
TPH1	GPR119
RAF1	PPP1R8
NPPC	NPPA
TRAF6	MAP3K5
CSNK1E	ASAP3
EIF3J	EIF3I
RPSA	RPS11
LAMA2	ITGB4
ITGB3	PRKCB
POLD1	RPA1
UCHL5	PSMB9
TRIM28	MDM2
SLC18A2	SNAP25
TGFBR2	CSDC2
LYN	EPHA3
IL23A	IL12RB1
DVL3	CAMK2A
PRKCB	RHOA
EFNB1	LCK
PSMA8	CDC16
FLT3	KITLG
NOTCH2	PSEN2
TP53	PLK4
ARHGAP5	PKN1
HDAC5	HIST2H4A
WNT11	GNAS
RPL39	RPS14
GADD45A	CCNB2
PLD1	PRKCA
CDC16	ANAPC4
PRKACA	FN1
IL1R1	RELA
WEE1	EIF4ENIF1
RPS25	RPS18
UBQLN1	PSMA6
CFLAR	RIPK1
DOK1	MS4A2
CD247	CBL
MRPS7	RPL34
SNCA	PPP2R5D
DOK6	GDNF
PSMC1	PSMD7
PAK2	MAPK14
UBC	RPS2
NGF	RASA1
MEN1	NFKB1
GTF2H3	GTF2H4
SP3	CA9
RBBP7	H3F3A
CASP6	NUMA1
JUN	IFNG
EIF2S3	RPS13
ABL2	HLCS
NGF	RHOC
NUTF2	KPNA2
DAG1	NCK1
CCND3	RBL2
EDNRB	GNB1
RXRG	PAX8
PTPN6	CD22
OSM	CXCL10
PDGFA	FGFR1
RPSA	RPS19
IL2RG	ETS1
LYN	PIK3R2
CLDN17	CLDN9
UBR1	ANAPC10
WNT16	FZD10
AKT1	IRS1
TSGA14	CEP57
SRF	ST13
IFNG	LPL
RPS11	RPS23
CSNK2B	BMPR2
FZD3	NFATC2
NUP153	MAGOH
EP300	ARNT
POU4F2	CCND1
EDN1	MBP
PIK3CG	AKT2
FGF21	SOS1
PSMD1	CUL5
CACNA1H	CACNB4
CCL15	CXCR5
RPLP2	RPS3A
PRKCI	NCL
PSME3	UBR1
ADRA1A	GNAQ
ITGB4	TLN1
RPSA	RPS3
NUPL2	XPO1
ERCC2	XPA
ITGA7	ADAM12
SORBS1	RHOQ
YES1	PDGFRB
MAPKAPK5	MAPK12
THBS1	VCAM1
DYNLL1	AKAP9
CD79B	RPS6KB1
YY1	GDAP1
MXD1	TERT
PSMA6	CDC26
CBLC	KDR
CBLB	LOC652799
ITGAM	ICAM1
HSPG2	DAG1
FOXA2	CPT1A
MAP2K1	PLA2G4A
UBC	RPS28
SMURF1	CSF1R
TBXA2R	GNB5
DVL2	NOTCH3
EIF4B	RPS6KB1
BTK	CD79B
PRKACG	RAP1A
PSMD8	PSMB5
IDE	UBE2D1
GAL	TH
MAPK8	NAIP
CCL4L1	CCR5
SMAD3	RBL1
CSNK2A2	CDH1
CD247	PRKCQ
SNRPA	SNRPG
FGFR4	RIPK3
PTBP2	EIF4G2
HLA-DRB1	LCK
FLT4	PIK3R3
PSME4	IDE
ITGAV	VASP
PRKACA	RPH3A
