IRF1	CEACAM1
IRF1	TAP1
IRF1	IL10
IRF1	EIF2AK2
IRF1	CASP7
IRF1	SOCS1
IRF1	CDK2
IRF1	IL27
IRF1	CIITA
IRF1	PSMB9
IRF1	HLA-A
IRF1	DST
IRF1	CYBB
IRF1	FOXP3
IRF1	IFIT3
IRF1	IFNB1
IRF1	TNFSF10
IRF1	DDX58
IRF1	CD40
IRF1	CXCL10
GATA2	GATA1
GATA2	NOS3
GATA2	GPR146
GATA2	LYL1
GATA2	GULP1
GATA2	VWA5A
GATA2	MYC
GATA2	CCM2
GATA2	FOXO3
GATA2	CCRL2
GATA2	EPO
GATA2	AMOTL1
GATA2	PPP1R15A
GATA2	HTR5A
GATA2	ADH1A
GATA2	FDPS
GATA2	EFCAB2
GATA2	CYBB
GATA2	APEX1
GATA2	MS4A2
GATA2	TGFB2
GATA2	AR
GATA2	PSD4
GATA2	FCER1A
GATA2	CTSH
GATA2	PNPLA8
GATA2	PLSCR2
GATA2	SGK1
GATA2	WT1
GATA2	PPARG
GATA2	TNFAIP8L1
GATA2	ARRDC4
GATA2	HMGB1
GATA2	ICAM4
NFIL3	IL1B
CTCF	CIDEB
TP53	AFP
HNF4A	AFP
NFKB1	CCL11
RELA	CCL11
ETS1	SLC26A3
CEBPG	SFTPD
CEBPB	SFTPD
CEBPA	SFTPD
NANOG	CDC25A
E2F1	CDC25A
E2F4	CDC25A
HMGA1	CDC25A
RELA	SLC25A27
TP53	PLK1
E2F1	PLK1
E2F3	PLK1
E2F4	PLK1
E2F2	PLK1
ZBTB7A	PFKP
KLF4	PFKP
E2F1	MT1G
TCF3	CDK6
TCF3	CR2
TCF3	BBC3
NFYA	ACTB
NFYB	ACTB
SRF	ACTB
PPARG	GK
MITF	OCA2
TP53	CHEK1
SP1	CD97
SP3	CD97
STAT1	CLIC2
TP53	PIAS3
E2F1	HELLS
USF2	IGF2R
CTCF	COMMD2
GATA1	ALAS2
GATA1	HEMGN
GATA1	AGGF1
GATA1	EPO
GATA1	PF4
GATA1	GP6
GATA1	CYBB
GATA1	TBXA2R
MYC	NUP155
ATF3	SELE
NFKB1	SELE
REL	SELE
RELA	SELE
USF1	SLC22A2
AR	PRKCD
NR2F1	CYP19A1
NR2F1	EPO
NR2F1	LHCGR
TWIST1	NR2F1
NR2F1	APOA2
TWIST2	NR2F1
NR2F1	APOC3
TP53	TP53I3
RXRA	ABCC3
SP1	ABCC3
