Source	Target	Sign	Network
BCL3	NFKB1	-	GRN
MBD1	SETDB1	+	SN
NCOA2	AR	-	GRN
PPARG	SLC2A4	-	GRN
RUNX1	IL3	+	SN
SMAD7	TGFBR1	-	GRN
SPI1	GATA1	-	SN
TP53	PERP	+	GRN
TP53	MET	-	SN
TP53	HRAS	+	SN
TP53	BCL2L1	-	GRN
AAK1	AP2M1	+	SN
AANAT	MTNR1A	+	SN
ABCA1	APOA1	+	SN
ABL1	TP53BP1	+	SN
ABL1	DDX5	+	SN
ABL1	WASF3	+	SN
ABL1	SORBS2	+	SN
ABL1	WRN	+	SN
ABL1	TOP1	+	SN
ABL1	TERT	-	SN
ABL1	STAT1	+	SN
ABL1	SOS1	+	SN
ABL1	SHC1	+	SN
ABL1	ROBO1	+	SN
ABL1	RAD52	+	SN
ABL1	RAD51	+	SN
ABL1	PSMA7	-	SN
ABL1	PRKCD	+	SN
ABL1	PDGFRB	+	SN
ABL1	PRKN	-	SN
ABL1	PAK2	-	SN
ABL1	NFKBIA	+	SN
ABL1	MUC1	+	SN
ABL1	MAP3K1	+	SN
ABL1	MDM4	-	SN
ABL1	MDM2	+	SN
ABL1	JUN	-	SN
ABL1	JAK2	+	SN
ABL1	ARHGAP35	+	SN
ABL1	GRB2	+	SN
ABL1	MTOR	+	SN
ABL1	ESR1	+	SN
ABL1	EGFR	+	SN
ABL1	CTNNB1	+	SN
ABL1	CRK	+	SN
ABL1	CDKN1B	-	SN
ABL1	CDK5	+	SN
ABL1	CASP9	+	SN
ABL1	BCR	+	SN
ABL1	ATR	+	SN
ABL2	SORBS2	+	SN
ABL2	PSMA7	-	SN
ABL2	CRK	+	SN
ABRAXAS1	BRCA1	+	SN
ACD	TERT	+	SN
ACE	AGT	+	SN
ACP1	PDGFRB	-	SN
ACP1	CTNNB1	+	SN
ACTL6A	ATM	+	SN
ACTR2	ACVR1B	+	SN
ACVR1B	SMAD3	+	SN
ACVR1B	SMAD2	+	SN
ACVR2A	ACVR1	+	SN
ACVR2A	ACVR1B	+	SN
ACVR2B	ACVRL1	+	SN
ACVR2B	ACVR1	+	SN
ACVR2B	BMPR1B	+	SN
ACVR2B	BMPR1A	+	SN
ACVR2B	ACVR1B	+	SN
ADAM10	NOTCH2	+	SN
ADAM15	ITGB3	+	SN
ADAM17	TNF	+	SN
ADAM17	NOTCH1	+	SN
ADAM17	MUC1	-	SN
ADAM9	ITGAV	+	SN
ADAM9	ITGB5	+	SN
ADIPOQ	ADIPOR1	+	SN
ADIPOQ	ADIPOR2	+	SN
ADRA1A	GNA11	+	SN
ADRA1A	GNAQ	+	SN
ADRB2	GNAS	+	SN
AFDN	RIT1	+	SN
AGRP	MC3R	+	SN
AGT	MAS1	+	SN
AGT	LRP2	+	SN
AGT	AGTR1	+	SN
AGTR1	GNA13	+	SN
AGTR1	GNG12	+	SN
AGTR1	GNAQ	+	SN
AGTR2	GNAQ	+	SN
AHR	CYP1B1	+	GRN
AHR	CYP1A1	+	GRN
AHSA1	HSP90AB1	+	SN
AHSA1	HSP90AA1	+	SN
AIMP1	SMURF2	+	SN
AKAP8	HDAC3	+	SN
AKT1	HK1	+	SN
AKT1	TTC3	+	SN
AKT1	PHF20	-	SN
AKT1	CDCA7	-	SN
AKT1	ALYREF	+	SN
AKT1	AGAP2	+	SN
AKT1	POU5F1	+	SN
AKT1	SRPK2	+	SN
AKT1	FOXA2	+	SN
AKT1	WNK1	+	SN
AKT1	ITGB3	+	SN
AKT1	PIKFYVE	+	SN
AKT1	S1PR1	+	SN
AKT1	CLK2	+	SN
AKT1	PDE3B	+	SN
AKT1	PDCD4	-	SN
AKT1	SKI	-	SN
AKT1	MAP3K11	+	SN
AKT1	GAB2	-	SN
AKT1	PFKFB2	+	SN
AKT1	SLC9A1	+	SN
AKT1	ATXN1	+	SN
AKT1	PEA15	+	SN
AKT1	METTL1	-	SN
AKT1	HNRNPA1	-	SN
AKT1	MST1R	+	SN
AKT1	ZYX	-	SN
AKT1	RNF11	-	SN
AKT1	ILF3	+	SN
AKT1	TP53RK	+	SN
AKT1	KHSRP	-	SN
AKT1	NCF1	+	SN
AKT1	TAL1	-	SN
AKT1	DAB2IP	-	SN
AKT1	H3F3B	+	SN
AKT1	ADRB2	-	SN
AKT1	MXD1	-	SN
AKT1	PFKFB3	+	SN
AKT1	GATA2	-	SN
AKT1	CDKN1C	-	SN
AKT1	SMAD3	+	SN
AKT1	TSC1	+	SN
AKT1	NR3C1	+	SN
AKT1	MDM4	+	SN
AKT1	IRAK1	-	SN
AKT1	HTRA2	-	SN
AKT1	RPS6KB1	+	SN
AKT1	HSPB1	-	SN
AKT1	NCOR1	-	SN
AKT1	GSK3B	+	SN
AKT1	EIF4B	+	SN
AKT1	NRF1	+	SN
AKT1	MTOR	+	SN
AKT1	CFLAR	-	SN
AKT1	SMARCC1	+	SN
AKT1	BAX	-	SN
AKT1	VIM	+	SN
AKT1	TOPBP1	+	SN
AKT1	PAK1	+	SN
AKT1	EP300	+	SN
AKT1	TSC2	-	SN
AKT1	BRCA1	+	SN
AKT1	PPP1CA	-	SN
AKT1	DLX5	+	SN
AKT1	AR	+	SN
AKT1	FAS	-	SN
AKT1	ZFP36L1	-	SN
AKT1	RAF1	-	SN
AKT1	TERT	+	SN
AKT1	TWIST1	+	SN
AKT1	NUAK1	+	SN
AKT1	SP7	+	SN
AKT1	BCL2L11	-	SN
AKT1	STK3	-	SN
AKT1	TP53BP1	-	SN
AKT1	HMOX1	+	SN
AKT1	RARA	+	SN
AKT1	EZH2	-	SN
AKT1	YBX1	+	SN
AKT1	TBC1D1	-	SN
AKT1	COPS6	+	SN
AKT1	EIF4EBP1	+	SN
AKT1	NR4A1	-	SN
AKT1	RAC1	+	SN
AKT1	TBC1D4	-	SN
AKT1	STK4	-	SN
AKT1	YWHAZ	+	SN
AKT1	MAP3K5	-	SN
AKT1	GSK3A	-	SN
AKT1	MAP2K4	-	SN
AKT1	XIAP	+	SN
AKT1	SH3RF1	-	SN
AKT1	BAD	-	SN
AKT1	ESR1	+	SN
AKT1	FOXO1	+	SN
AKT1	CDK2	+	SN
AKT1	BRAF	-	SN
AKT1	PPARGC1A	-	SN
AKT1	MDM2	+	SN
AKT1	CASP9	-	SN
AKT1	CDKN1B	+	SN
AKT1	FOXO3	+	SN
AKT1	FOXO4	+	SN
AKT1	YAP1	-	SN
AKT1	AKT1S1	-	SN
AKT1	DNMT1	+	SN
AKT1	CREB1	+	SN
AKT1	CHUK	+	SN
AKT1	MAP3K8	+	SN
AKT1	ITGB1	+	SN
AKT1	CDKN1A	+	SN
AKT1	GATA1	+	SN
AKT1	CHEK1	+	SN
AKT1	NOS3	+	SN
AKT1	VCP	+	SN
AKT1	PTPN1	-	SN
AKT1	CTNNB1	+	SN
AKT1	SLC2A4	+	SN
AKT1	PRKACA	+	SN
AKT1	ITPR1	-	SN
AKT1S1	RPTOR	-	SN
AKT1S1	MTOR	-	SN
AKT2	POU5F1	+	SN
AKT2	HTRA2	-	SN
AKT2	HSPB1	-	SN
AKT2	GSK3B	-	SN
AKT2	MTOR	+	SN
AKT2	EP300	+	SN
AKT2	TSC2	-	SN
AKT2	RAF1	-	SN
AKT2	STK3	-	SN
AKT2	EZR	+	SN
AKT2	STK4	-	SN
AKT2	MAP3K5	-	SN
AKT2	GSK3A	-	SN
AKT2	XIAP	+	SN
AKT2	SH3RF1	-	SN
AKT2	BAD	+	SN
AKT2	ESR1	+	SN
AKT2	NFKB1	+	SN
AKT2	FOXO1	-	SN
AKT2	BRAF	-	SN
AKT2	PPARGC1A	-	SN
AKT2	MDM2	+	SN
AKT2	CASP9	+	SN
AKT2	CDKN1B	-	SN
AKT2	FOXO3	-	SN
AKT2	FOXO4	-	SN
AKT2	AKT1S1	-	SN
AKT2	CREB1	+	SN
AKT2	CHUK	+	SN
AKT2	CDKN1A	+	SN
AKT2	NOS3	+	SN
AKT2	PTPN1	-	SN
AKT2	CTNNB1	+	SN
AKT3	POU5F1	+	SN
AKT3	HSPB1	-	SN
AKT3	STK3	-	SN
AKT3	AGO2	+	SN
AKT3	FOXO3	-	SN
AKT3	AKT1S1	-	SN
AKT3	CREB1	+	SN
AKT3	CHUK	+	SN
AKT3	TBX3	+	SN
AKT3	STK4	-	SN
AKT3	NOS3	+	SN
AKT3	GSK3B	+	SN
