Source	Target	Interaction
AMER1	APC	+	SN
APC	POLB	-	SN
APC	FEN1	-	SN
APC	CTNNB1	+	SN
AXIN1	APC	+	SN
AXIN2	APC	+	SN
CDC14B	APC	+	SN
DVL1	APC	-	SN
GSK3B	APC	+	SN
KRT1	APC	+	SN
PPP2CA	APC	-	SN
PRKACA	APC	-	SN
TP53	APC	+	GRN
TPTEP2-CSNK1E	APC	+	SN
USF1	APC	+	GRN
USF2	APC	+	GRN
AMER1	AXIN1	+	SN
APC2	AXIN1	+	SN
AXIN1	SMAD7	+	SN
AXIN1	RNF111	+	SN
AXIN1	SMAD3	+	SN
AXIN1	MAP3K4	+	SN
AXIN1	CSNK1D	+	SN
AXIN1	CSNK1A1	+	SN
AXIN1	MYC	+	SN
AXIN1	MAP3K1	+	SN
AXIN1	GSK3B	+	SN
AXIN1	GSK3A	+	SN
AXIN1	CTNNB1	+	SN
AXIN1	BMPR1A	-	SN
AXIN1	APC	+	SN
CSNK1A1	AXIN1	+	SN
CSNK1D	AXIN1	+	SN
DVL1	AXIN1	-	SN
DVL2	AXIN1	+	SN
GNAS	AXIN1	+	SN
GSK3B	AXIN1	+	SN
LRP5	AXIN1	+	SN
LRP6	AXIN1	+	SN
PPM1A	AXIN1	-	SN
PPP1CA	AXIN1	-	SN
PPP1CB	AXIN1	-	SN
PPP1CC	AXIN1	-	SN
PPP2CA	AXIN1	+	SN
TNKS	AXIN1	-	SN
TNKS2	AXIN1	-	SN
TPTEP2-CSNK1E	AXIN1	+	SN
AXIN2	GSK3B	+	SN
AXIN2	CTNNB1	+	SN
AXIN2	APC	+	SN
CDX2	AXIN2	+	GRN
E2F1	AXIN2	+	GRN
TCF7L2	AXIN2	+	GRN
TNKS	AXIN2	-	SN
TNKS2	AXIN2	-	SN
AKT1	BRAF	-	SN
AKT2	BRAF	-	SN
AKT3	BRAF	-	SN
BRAF	MAP4K1	+	SN
BRAF	MAPK1	+	SN
BRAF	TGFB1	+	SN
BRAF	MAPK3	+	SN
BRAF	MAP2K2	+	SN
BRAF	MAP2K1	+	SN
HRAS	BRAF	+	SN
KRAS	BRAF	+	SN
KSR1	BRAF	-	SN
MAPK1	BRAF	-	SN
MAPK3	BRAF	-	SN
NRAS	BRAF	+	SN
PEBP1	BRAF	+	SN
PRKACA	BRAF	+	SN
RAP1B	BRAF	+	SN
RHEB	BRAF	-	SN
YWHAH	BRAF	+	SN
ABL1	EGFR	+	SN
AP2M1	EGFR	-	SN
AR	EGFR	+	SN
AREG	EGFR	+	SN
BTC	EGFR	+	SN
CAMK2A	EGFR	+	SN
CAMK2G	EGFR	-	SN
CAV1	EGFR	+	SN
CBL	EGFR	+	SN
CBLB	EGFR	+	SN
CDK1	EGFR	-	SN
DUSP3	EGFR	-	SN
EGF	EGFR	+	SN
EGFR	SCAMP3	+	SN
EGFR	PIK3C2B	+	SN
EGFR	EPS15	+	SN
EGFR	PKIA	+	SN
EGFR	WASF1	+	SN
EGFR	PTK2B	+	SN
EGFR	GRAP	+	SN
EGFR	LRIG1	+	SN
EGFR	HGS	+	SN
EGFR	SHC2	+	SN
EGFR	GSTP1	+	SN
EGFR	NCK2	+	SN
EGFR	VAV2	+	SN
EGFR	SHC3	+	SN
EGFR	PLD2	+	SN
EGFR	PRKDC	+	SN
EGFR	STAT5B	+	SN
EGFR	MUC1	+	SN
EGFR	STAT3	+	SN
EGFR	ERBB3	+	SN
EGFR	PTPN11	+	SN
EGFR	CBL	+	SN
EGFR	ERBB2	+	SN
EGFR	PIK3R1	+	SN
EGFR	EZR	+	SN
EGFR	SHC1	+	SN
EGFR	JAK1	+	SN
EGFR	GAB1	+	SN
EGFR	GRB2	+	SN
EGFR	STAT1	+	SN
EGFR	PTK2	+	SN
EGFR	NCK1	+	SN
EGFR	CTNND1	-	SN
EGFR	ESR1	+	SN
EGFR	STAT5A	+	SN
EGFR	RGS16	+	SN
EGFR	MAP2K1	+	SN
EGFR	PCNA	+	SN
EGFR	HDAC6	-	SN
EGFR	CAV1	+	SN
EGFR	EPB41	+	SN
EGFR	PTPN1	+	SN
EGFR	ANXA1	+	SN
EGFR	TRPV3	+	SN
EGFR	PLCG1	+	SN
EGFR	E2F1	+	SN
EGFR	CRK	+	SN
EGFR	CDH1	+	SN
EGFR	CASP3	+	SN
EGFR	CCND1	+	SN
EGR1	EGFR	+	GRN
EGR1	EGFR	+	GRN
EPGN	EGFR	+	SN
EPN1	EGFR	-	SN
ERBB2	EGFR	+	SN
EREG	EGFR	+	SN
GPER1	EGFR	+	SN
HBEGF	EGFR	+	SN
JUN	EGFR	+	GRN
JUNB	EGFR	+	GRN
LRIG1	EGFR	-	SN
MAPK1	EGFR	+	SN
MAPK11	EGFR	-	SN
MAPK14	EGFR	-	SN
MAPK3	EGFR	+	SN
MMP2	EGFR	+	SN
NFKB1	EGFR	+	GRN
PKN1	EGFR	-	SN
PPARG	EGFR	-	SN
PRKCA	EGFR	+	SN
PRKD1	EGFR	+	SN
PTK2B	EGFR	+	SN
PTPN1	EGFR	-	SN
PTPN11	EGFR	-	SN
PTPN2	EGFR	-	SN
PTPN6	EGFR	+	SN
PTPRJ	EGFR	+	SN
PTPRK	EGFR	-	SN
RARA	EGFR	+	GRN
RELA	EGFR	+	GRN
RIN1	EGFR	+	SN
SNX9	EGFR	+	SN
SP1	EGFR	-	GRN
SRC	EGFR	+	SN
STAT3	EGFR	+	GRN
TGFA	EGFR	+	SN
TP53	EGFR	+	SN
TP53	EGFR	+	SN
VAV2	EGFR	+	SN
VDR	EGFR	-	GRN
WT1	EGFR	-	GRN
YBX1	EGFR	+	GRN
YY1	EGFR	+	GRN
AREG	ERBB2	+	SN
CBL	ERBB2	-	SN
DUSP3	ERBB2	-	SN
EGF	ERBB2	+	SN
EGFR	ERBB2	+	SN
ELAVL1	ERBB2	+	SN
ERBB2	GRAP	+	SN
ERBB2	SHC3	+	SN
ERBB2	DOCK7	+	SN
ERBB2	ERBB3	+	SN
ERBB2	PAK1	+	SN
ERBB2	ERBB4	+	SN
ERBB2	PIK3R1	+	SN
ERBB2	SHC1	+	SN
ERBB2	PIK3CA	+	SN
ERBB2	GRB2	+	SN
ERBB2	PTGS2	+	SN
ERBB2	ESR1	+	SN
ERBB2	SNTA1	+	SN
ERBB2	PLCG1	+	SN
ERBB2	EGFR	+	SN
ERBB2	CDK1	-	SN
ETV4	ERBB2	-	GRN
GATA4	ERBB2	-	GRN
GDF15	ERBB2	+	SN
LRIG1	ERBB2	+	SN
NRG1	ERBB2	+	SN
PRKACA	ERBB2	+	SN
SP4	ERBB2	+	GRN
TFAP2A	ERBB2	+	GRN
YY1	ERBB2	+	GRN
AR	ERBB3	+	SN
AR	ERBB3	+	SN
EGFR	ERBB3	+	SN
ERBB2	ERBB3	+	SN
ERBB3	PIK3CG	+	SN
ERBB3	PIK3CB	+	SN
ERBB3	PIK3CD	+	SN
ERBB3	GRB7	+	SN
ERBB3	PIK3R1	+	SN
ERBB3	PIK3CA	+	SN
ERBB3	GRB2	+	SN
EREG	ERBB3	+	SN
LRIG1	ERBB3	+	SN
NRG1	ERBB3	+	SN
NRG2	ERBB3	+	SN
FLT3	PIK3R1	+	SN
FLT3LG	FLT3	+	SN
ADRB2	GNAS	+	SN
FZD7	GNAS	+	SN
GCGR	GNAS	+	SN
GNAS	AXIN1	+	SN
GNAS	PIK3R1	+	SN
GNAS	ADCY1	+	SN
GNRHR	GNAS	+	SN
PTGER2	GNAS	+	SN
TP53	HRAS	+	SN
CHURC1-FNTB	HRAS	+	SN
DAB2IP	HRAS	-	SN
FNTA	HRAS	+	SN
GNAQ	HRAS	+	SN
HRAS	PIK3CG	+	SN
HRAS	PIK3CB	+	SN
HRAS	PIK3CD	+	SN
HRAS	AFDN	+	SN
HRAS	JUN	+	SN
HRAS	TIAM1	+	SN
HRAS	RALGDS	+	SN
HRAS	RAF1	+	SN
HRAS	PLCE1	+	SN
HRAS	RIN1	+	SN
HRAS	SHC1	+	SN
HRAS	PIK3CA	+	SN
HRAS	BRAF	+	SN
HRAS	ARAF	+	SN
NF1	HRAS	+	SN
PLCE1	HRAS	+	SN
PTPN11	HRAS	+	SN
RAPGEF5	HRAS	+	SN
RAPGEF6	HRAS	+	SN
RASA1	HRAS	+	SN
RASGEF1A	HRAS	+	SN
RASGEF1B	HRAS	+	SN
RASGEF1C	HRAS	+	SN
RIN1	HRAS	+	SN
SOS1	HRAS	+	SN
SOS2	HRAS	+	SN
SP1	HRAS	+	GRN
SRC	HRAS	+	SN
ZDHHC9	HRAS	+	SN
CHURC1-FNTB	KRAS	+	SN
DAB2IP	KRAS	-	SN
FNTA	KRAS	+	SN
KRAS	PIK3CG	+	SN
KRAS	PIK3CB	+	SN
KRAS	PIK3CD	+	SN
KRAS	RASSF1	+	SN
KRAS	RALGDS	+	SN
KRAS	RAF1	+	SN
KRAS	PIK3CA	+	SN
KRAS	MAP3K1	+	SN
KRAS	TCF3	+	SN
KRAS	BRAF	+	SN
PRKCA	KRAS	+	SN
RAP1GDS1	KRAS	+	SN
RAPGEF5	KRAS	+	SN
RASGEF1A	KRAS	+	SN
RASGEF1B	KRAS	+	SN
RASGEF1C	KRAS	+	SN
RASSF5	KRAS	+	SN
RIN1	KRAS	+	SN
SHOC2	KRAS	+	SN
SOS1	KRAS	+	SN
SOS2	KRAS	+	SN
SRC	KRAS	+	SN
AMER1	LRP6	+	SN
CDH1	LRP6	+	SN
GSK3A	LRP6	+	SN
GSK3B	LRP6	+	SN
LRP6	AXIN1	+	SN
LRP6	GSK3B	-	SN
MAPK3	LRP6	+	SN
MAPK8	LRP6	+	SN
WNT1	LRP6	+	SN
WNT10B	LRP6	+	SN
WNT16	LRP6	+	SN
ARAF	MAP2K1	+	SN
BRAF	MAP2K1	+	SN
CDK1	MAP2K1	-	SN
CDK5	MAP2K1	-	SN
EGFR	MAP2K1	+	SN
LAMTOR3	MAP2K1	+	SN
MAP2K1	TAL1	-	SN
MAP2K1	MAPK1	+	SN
MAP2K1	RPS6KA4	+	SN
MAP2K1	IRS1	-	SN
MAP2K1	MAPK6	+	SN
MAP2K1	ARRB2	+	SN
MAP2K1	MAPK3	+	SN
MAP2K1	PPARG	-	SN
MAP2K1	GSK3B	+	SN
MAP2K1	GLI1	+	SN
MAP3K1	MAP2K1	+	SN
MAP3K2	MAP2K1	+	SN
MAP3K8	MAP2K1	+	SN
MAPK1	MAP2K1	+	SN
MAPK3	MAP2K1	+	SN
PAK1	MAP2K1	+	SN
PDPK1	MAP2K1	+	SN
PEBP1	MAP2K1	+	SN
PPP2CA	MAP2K1	-	SN
RAF1	MAP2K1	+	SN
WDR83	MAP2K1	+	SN
ARAF	MAP2K2	+	SN
BRAF	MAP2K2	+	SN
MAP2K2	MAPK3	+	SN
MAP2K2	PPARG	+	SN
MAP3K8	MAP2K2	+	SN
RAF1	MAP2K2	+	SN
AKT1	MAP2K4	-	SN
FLNA	MAP2K4	+	SN
HSF2	MAP2K4	-	GRN
MAP2K4	MAPK12	+	SN
MAP2K4	MAPK11	+	SN
MAP2K4	MAPK14	+	SN
MAP2K4	MAPK9	+	SN
MAP2K4	MAPK10	+	SN
MAP2K4	RXRA	-	SN
MAP2K4	MAPK8	+	SN
MAP3K1	MAP2K4	+	SN
MAP3K10	MAP2K4	+	SN
MAP3K11	MAP2K4	+	SN
MAP3K12	MAP2K4	+	SN
MAP3K2	MAP2K4	+	SN
MAP3K20	MAP2K4	+	SN
MAP3K3	MAP2K4	+	SN
MAP3K4	MAP2K4	+	SN
MAP3K5	MAP2K4	+	SN
MAP3K6	MAP2K4	+	SN
MAP3K7	MAP2K4	+	SN
MAP3K8	MAP2K4	+	SN
MAPK8IP1	MAP2K4	+	SN
MAPK8IP3	MAP2K4	+	SN
PPM1A	MAP2K4	-	SN
SH3RF1	MAP2K4	+	SN
SPAG9	MAP2K4	+	SN
STK4	MAP2K4	+	SN
TAOK2	MAP2K4	+	SN
AXIN1	MAP3K4	+	SN
GSK3B	MAP3K4	-	SN
MAP3K4	MAP4K3	+	SN
MAP3K4	MAP2K4	+	SN
PTPN11	MAP3K4	-	SN
MAP3K3	MAP4K3	+	SN
MAP3K4	MAP4K3	+	SN
MAP4K3	MAPK14	+	SN
MAP4K3	PRKCQ	+	SN
MAP4K3	MAP3K1	+	SN
FOXA1	NF1	+	SN
IRF8	NF1	+	GRN
NF1	NRAS	-	SN
NF1	HRAS	+	SN
DAB2IP	NRAS	-	SN
IQGAP1	NRAS	-	SN
NF1	NRAS	-	SN
NRAS	PIK3CG	+	SN
NRAS	PIK3CB	+	SN
NRAS	RALGDS	+	SN
NRAS	RAF1	+	SN
NRAS	PIK3CA	+	SN
NRAS	BRAF	+	SN
NRAS	ARAF	+	SN
RAP2A	NRAS	+	SN
RAPGEF1	NRAS	+	SN
RAPGEF5	NRAS	+	SN
RAPGEF6	NRAS	+	SN
RASA4	NRAS	-	SN
RASGEF1A	NRAS	+	SN
RASGEF1B	NRAS	+	SN
RASGEF1C	NRAS	+	SN
RASGRF1	NRAS	+	SN
RASGRP3	NRAS	+	SN
RIN1	NRAS	-	SN
