Source	Target	Interaction
MMP2	EGFR	+	SN
LAT	PIK3R1	+	SN
PRKACA	APC	-	SN
MAP2K4	MAPK11	+	SN
MAP3K11	MAP2K4	+	SN
RASGRP3	NRAS	+	SN
HRAS	TIAM1	+	SN
SOS1	NRAS	+	SN
MAPK1	EGFR	+	SN
AXIN1	CTNNB1	+	SN
ERBB4	PIK3CB	+	SN
EGFR	PRKDC	+	SN
GCGR	GNAS	+	SN
MAP3K1	MAP2K4	+	SN
CDK1	MAP2K1	-	SN
EGFR	ERBB3	+	SN
SYK	PIK3R1	+	SN
CBLB	PIK3R1	+	SN
EGFR	NCK1	+	SN
NFKB1	EGFR	+	GRN
KRAS	PIK3CG	+	SN
MAP3K3	MAP2K4	+	SN
ERBB2	PIK3R1	+	SN
GNRHR	GNAS	+	SN
AXIN1	SMAD3	+	SN
PLCE1	HRAS	+	SN
RASGEF1C	KRAS	+	SN
RARA	EGFR	+	GRN
PIK3AP1	PIK3CB	+	SN
RASGEF1A	HRAS	+	SN
RASGEF1B	HRAS	+	SN
LRP5	AXIN1	+	SN
EGFR	EPS15	+	SN
DVL2	AXIN1	+	SN
KRAS	RALGDS	+	SN
PIK3CA	IRS1	-	SN
ERBB2	DOCK7	+	SN
MAPK3	SOS1	+	SN
RAPGEF1	NRAS	+	SN
PRKCA	EGFR	+	SN
ERBB2	ESR1	+	SN
PIK3R1	AKT1	+	SN
RASSF5	KRAS	+	SN
ERBB2	PTGS2	+	SN
MAP3K3	MAP4K3	+	SN
KRAS	PIK3CA	+	SN
GSK3B	APC	+	SN
GSK3A	LRP6	+	SN
KRAS	TCF3	+	SN
EGFR	EPB41	+	SN
RASGEF1C	HRAS	+	SN
NRAS	PIK3CB	+	SN
EGFR	STAT3	+	SN
MAP2K4	MAPK14	+	SN
EGFR	STAT5B	+	SN
PTK2	PIK3R1	+	SN
ERBB2	PIK3CA	+	SN
EGFR	PTK2	+	SN
CDK5	MAP2K1	-	SN
ERBB2	PAK1	+	SN
EGFR	ERBB2	+	SN
PPP2CA	MAP2K1	-	SN
FZD7	GNAS	+	SN
MAPK3	BRAF	-	SN
TNKS2	AXIN2	-	SN
GNB3	PIK3CA	+	SN
EGFR	SHC3	+	SN
TNF	PIK3CA	+	SN
IRS1	PIK3R1	+	SN
USF2	APC	+	GRN
ERBB4	PIK3CA	+	SN
DAB2IP	HRAS	-	SN
HRAS	RALGDS	+	SN
RASGEF1C	NRAS	+	SN
DAB2IP	NRAS	-	SN
IRS1	PIK3CA	+	SN
SP1	HRAS	+	GRN
PDPK1	MAP2K1	+	SN
MAP3K6	MAP2K4	+	SN
RAPGEF6	NRAS	+	SN
PEBP1	MAP2K1	+	SN
PIK3AP1	PIK3R1	+	SN
ERBB2	EGFR	+	SN
IGF1R	RASA1	+	SN
YBX1	EGFR	+	GRN
CBLB	EGFR	+	SN
RIN1	HRAS	+	SN
MAPK3	EGFR	+	SN
EGFR	CCND1	+	SN
MAPK14	EGFR	-	SN
SRC	KRAS	+	SN
EGFR	STAT1	+	SN
STAT3	EGFR	+	GRN
ERBB3	PIK3R1	+	SN
VDR	EGFR	-	GRN
MAP3K12	MAP2K4	+	SN
FLT3	PIK3R1	+	SN
LRP6	AXIN1	+	SN
RIN1	NRAS	-	SN
FLT3LG	FLT3	+	SN
GAB1	PIK3CA	+	SN
MAP2K1	MAPK6	+	SN
MAPK8IP3	MAP2K4	+	SN
AXIN1	MYC	+	SN
PTEN	PIK3CB	-	SN
EGFR	RGS16	+	SN
NRAS	ARAF	+	SN
ERBB2	PLCG1	+	SN
MAP3K8	MAP2K2	+	SN
WT1	EGFR	-	GRN
LCK	RASA1	+	SN
SOS2	KRAS	+	SN
EGFR	PLD2	+	SN
SNX9	EGFR	+	SN
RIN1	EGFR	+	SN
SP1	EGFR	-	GRN
EGFR	ESR1	+	SN
MAP2K4	RXRA	-	SN
MAPK3	MAP2K1	+	SN
EPOR	PIK3R1	+	SN
SPRY1	SOS1	-	SN
MAP3K10	MAP2K4	+	SN
HRAS	SHC1	+	SN
NRG2	ERBB3	+	SN
PIK3R3	PIK3CA	+	SN
CDH1	LRP6	+	SN
RASA4	NRAS	-	SN
ZDHHC9	NRAS	+	SN
LAMTOR3	MAP2K1	+	SN
MAP2K1	MAPK3	+	SN
EGFR	GRB2	+	SN
GRAP	SOS1	+	SN
HRAS	RAF1	+	SN
AREG	ERBB2	+	SN
ARAF	MAP2K1	+	SN
RASGEF1B	KRAS	+	SN
PIK3CA	MTOR	+	SN
WNT10B	LRP6	+	SN
EGFR	SCAMP3	+	SN
IGF1R	PIK3R1	+	SN
APC2	AXIN1	+	SN
PEBP1	BRAF	+	SN
PKN1	EGFR	-	SN
ARAF	MAP2K2	+	SN
HRAS	PIK3CG	+	SN
MAP2K2	MAPK3	+	SN
MAP3K1	MAP2K1	+	SN
RHEB	BRAF	-	SN
PPARG	EGFR	-	SN
MAP3K8	MAP2K4	+	SN
HRAS	PIK3CA	+	SN
KRAS	MAP3K1	+	SN
MAP2K4	MAPK10	+	SN
PTGER2	GNAS	+	SN
BRAF	MAPK1	+	SN
PAK1	MAP2K1	+	SN
MAPK8IP1	MAP2K4	+	SN
MAP2K1	MAPK1	+	SN
PPP2CA	APC	-	SN
MAP2K4	MAPK12	+	SN
JUNB	EGFR	+	GRN
WNT16	LRP6	+	SN
SHC1	SOS1	+	SN
TP53	EGFR	+	SN
TP53	HRAS	+	SN
TNKS	AXIN1	-	SN
MAP2K1	TAL1	-	SN
ABL1	SOS1	+	SN
FNTA	KRAS	+	SN
RAP1B	BRAF	+	SN
SRC	NRAS	+	SN
DAB2IP	KRAS	-	SN
AMER1	LRP6	+	SN
AXIN1	GSK3A	+	SN
RASA1	HRAS	+	SN
GSK3B	MAP3K4	-	SN
CBLB	PIK3CA	-	SN
PPM1A	AXIN1	-	SN
DUSP3	ERBB2	-	SN
EGFR	EZR	+	SN
FNTA	HRAS	+	SN
PIK3AP1	PIK3CA	+	SN
PTPRJ	PIK3R1	-	SN
EGFR	PTK2B	+	SN
HRAS	PLCE1	+	SN
KRAS	BRAF	+	SN
RIN1	KRAS	+	SN
NRG1	ERBB3	+	SN
PTK2B	EGFR	+	SN
KRAS	RASSF1	+	SN
CBL	ERBB2	-	SN
EGFR	E2F1	+	SN
DVL1	APC	-	SN
GATA4	ERBB2	-	GRN
PRKCA	KRAS	+	SN
HRAS	ARAF	+	SN
GDF15	ERBB2	+	SN
PIK3CA	RPS6KB1	+	SN
SRC	RASA1	+	SN
EGFR	CASP3	+	SN
ERBB3	PIK3CA	+	SN
RAPGEF5	HRAS	+	SN
MAP3K2	MAP2K1	+	SN
TAOK2	MAP2K4	+	SN
TGFBR1	PIK3R1	+	SN
EREG	ERBB3	+	SN
AMER1	APC	+	SN
RAP1GDS1	KRAS	+	SN
TP53	APC	+	GRN
PTPN11	PIK3CA	+	SN
AXIN2	CTNNB1	+	SN
RASA1	CAV2	+	SN
EGFR	PLCG1	+	SN
SOS2	HRAS	+	SN
EGFR	ANXA1	+	SN
PTPN6	EGFR	+	SN
