Source	Target	Sign	Network
ERBB2	CDK1	-	SN

LRIG1	EGFR	-	SN

AXIN2	GSK3B	+	SN

NRAS	ARAF	+	SN

AXIN1	APC	+	SN

MAP2K4	MAPK11	+	SN

ERBB2	PLCG1	+	SN

SOS2	KRAS	+	SN

APC	CTNNB1	+	SN

GSK3B	AXIN1	+	SN

BRAF	MAP2K2	+	SN

ERBB2	GRAP	+	SN

RIN1	EGFR	+	SN

LRP6	GSK3B	-	SN

SOS1	NRAS	+	SN

MAP2K4	MAPK8	+	SN

MAPK1	EGFR	+	SN

AXIN1	CTNNB1	+	SN

EGFR	MAP2K1	+	SN

NRAS	BRAF	+	SN

NRAS	RAF1	+	SN

MAP3K1	MAP2K4	+	SN

EGFR	ESR1	+	SN

AXIN1	MAP3K4	+	SN

CDK1	MAP2K1	-	SN

PTPN1	EGFR	-	SN

EGFR	ERBB3	+	SN

MAPK3	MAP2K1	+	SN

ERBB2	ERBB4	+	SN

EGFR	PTPN11	+	SN

MAP3K4	MAP4K3	+	SN

MAPK11	EGFR	-	SN

ERBB2	SHC1	+	SN

HRAS	SHC1	+	SN

EGFR	CAV1	+	SN

MAP2K1	PPARG	-	SN

EGFR	PTPN1	+	SN

GNAS	AXIN1	+	SN

GRB2	SOS1	+	SN

RAF1	MAP2K1	+	SN

CDH1	LRP6	+	SN

ERBB2	PIK3R1	+	SN

CDK1	EGFR	-	SN

MAP4K3	MAP3K1	+	SN

MAP2K1	MAPK3	+	SN

SOS1	HRAS	+	SN

EGFR	GRB2	+	SN

EGFR	VAV2	+	SN

GRAP	SOS1	+	SN

PLCE1	HRAS	+	SN

HRAS	RAF1	+	SN

EGFR	SHC1	+	SN

PIK3R1	PIK3CA	+	SN

ARAF	MAP2K1	+	SN

AXIN1	CSNK1A1	+	SN

CBL	EGFR	+	SN

BRAF	MAPK3	+	SN

PIK3CA	IRS1	-	SN

HRAS	RIN1	+	SN

ARAF	MAP2K2	+	SN

MAPK3	SOS1	+	SN

NRAS	PIK3CA	+	SN

LRIG1	ERBB2	+	SN

MAP2K2	MAPK3	+	SN

MAPK1	SOS1	+	SN

MAP3K1	MAP2K1	+	SN

ERBB2	ESR1	+	SN

EGFR	GAB1	+	SN

PIK3R1	AKT1	+	SN

PPARG	EGFR	-	SN

CAV1	EGFR	+	SN

HRAS	PIK3CA	+	SN

KRAS	MAP3K1	+	SN

LRIG1	ERBB3	+	SN

BRAF	MAPK1	+	SN

AXIN2	APC	+	SN

PAK1	MAP2K1	+	SN

ERBB3	GRB2	+	SN

KRAS	PIK3CA	+	SN

AXIN1	GSK3B	+	SN

GSK3B	APC	+	SN

CSNK1A1	AXIN1	+	SN

E2F1	AXIN2	+	GRN

MAP2K1	GSK3B	+	SN

MAP2K1	MAPK1	+	SN

NF1	HRAS	+	SN

SOS1	KRAS	+	SN

GSK3A	LRP6	+	SN

RAF1	MAP2K2	+	SN

CBL	PIK3R1	-	SN

SHC1	PIK3CA	+	SN

EGFR	STAT3	+	SN

MAP2K4	MAPK14	+	SN

SHC1	SOS1	+	SN

PTK2	PIK3R1	+	SN

ERBB2	PIK3CA	+	SN

EGFR	PIK3R1	+	SN

ERBB2	ERBB3	+	SN

AXIN1	MAP3K1	+	SN

EGFR	PTK2	+	SN

ERBB2	PAK1	+	SN

EGFR	ERBB2	+	SN

MAPK1	MAP2K1	+	SN

ESR1	PIK3R1	+	SN

MAPK3	BRAF	-	SN

NF1	NRAS	-	SN

GNAS	PIK3R1	+	SN

EGFR	GRAP	+	SN

AXIN1	GSK3A	+	SN

RASA1	HRAS	+	SN

GSK3B	MAP3K4	-	SN

PLCG1	SOS1	+	SN

AKT1	MAP2K4	-	SN

EGFR	PTK2B	+	SN

IRS1	PIK3R1	+	SN

VAV2	EGFR	+	SN

HRAS	PLCE1	+	SN

MAPK1	BRAF	-	SN

KRAS	BRAF	+	SN

ERBB4	PIK3CA	+	SN

PTPN11	EGFR	-	SN

RIN1	KRAS	+	SN

ERBB2	GRB2	+	SN

IRS1	PIK3CA	+	SN

PTK2B	EGFR	+	SN

HRAS	BRAF	+	SN

MAP2K2	PPARG	+	SN

HRAS	JUN	+	SN

CBL	ERBB2	-	SN

EGFR	LRIG1	+	SN

EGFR	E2F1	+	SN

GRB2	SOS2	+	SN

MAP4K3	MAPK14	+	SN

ERBB2	EGFR	+	SN

HRAS	ARAF	+	SN

MAP3K4	MAP2K4	+	SN

CSNK1D	AXIN1	+	SN

JUN	EGFR	+	GRN

ERBB3	PIK3CA	+	SN

RIN1	HRAS	+	SN

EGFR	CBL	+	SN

PTPN11	MAP3K4	-	SN

MAPK3	EGFR	+	SN

MAP2K1	IRS1	-	SN

MAPK3	LRP6	+	SN

AXIN1	CSNK1D	+	SN

MAPK14	EGFR	-	SN

PTPN11	PIK3CA	+	SN

PTPN11	HRAS	+	SN

AXIN2	CTNNB1	+	SN

MAPK8	LRP6	+	SN

TGFB1	PIK3R1	+	SN

STAT3	EGFR	+	GRN

ERBB3	PIK3R1	+	SN

GSK3B	LRP6	+	SN

PIK3CA	AKT1	+	SN

BRAF	TGFB1	+	SN

KRAS	RAF1	+	SN

FLT3	PIK3R1	+	SN

LRP6	AXIN1	+	SN

RIN1	NRAS	-	SN

EGFR	PLCG1	+	SN

SOS2	HRAS	+	SN

GAB1	PIK3CA	+	SN

CTNNB1	PIK3R1	+	SN

AKT1	BRAF	-	SN

