Source	Target	Interaction
ABI1	ABL1	+
ABI1	CBL	+
ABL1	ABI1	+
ABL1	ABL2	+
ABL1	ARHGAP35	+
ABL1	ATR	+
ABL1	BCAR1	+
ABL1	BCR	+
ABL1	CASP9	+
ABL1	CBL	+
ABL1	CDK5	+
ABL1	CDKN1B	-
ABL1	CEBPB	+
ABL1	CRK	+
ABL1	CRKL	+
ABL1	CTNNB1	+
ABL1	CTNND1	+
ABL1	DDX5	+
ABL1	GRAP	+
ABL1	MAP4K1	+
ABL2	CEBPB	+
ABL2	CRK	+
ABL2	PSMA7	-
ABL2	RIN1	+
ABL2	SIVA1	+
ABL2	SORBS2	+
ACE	AGT	+
ACTL6A	ATM	+
ACTR2	ACVR1B	+
ACVR1	SMAD1	+
ACVR2B	ACVR1	+
ACVR2B	ACVR1B	+
ACVR2B	BMPR1A	+
ACVRL1	SMAD1	+
AKT1	ATXN1	+
AKT1	CFLAR	-
AKT1	CREB1	+
AKT1	GAB2	-
AKT1	HTRA2	-
AKT1	ILF3	+
AKT1S1	MTOR	-
AKT1S1	RPTOR	-
AKT3	AGO2	+
AKT3	AKT1S1	-
AR	CASP2	-
AR	FOXO3	-
ARHGAP1	ROCK2	+
ARHGAP32	ARHGAP1	-
ARHGAP32	CDC42	+
ARHGAP32	CRK	+
ARHGAP32	CRKL	+
ARHGDIA	CDC42	-
ARHGEF1	ARHGAP1	+
ARHGEF1	GNA13	+
ARHGEF1	RHOA	+
ARNTL	CRY2	+
ARNTL	MAGEL2	-
ARRB1	DVL1	+
ARRB1	DVL2	+
ARRB1	MAPK14	+
ARRB1	MAPK3	+
ATF1	ATM	+
ATF1	CCDC65	+
ATF1	IL10	+
ATF1	SH3RF1	+
ATF2	ATF3	+
ATF2	JUN	+
ATF2	MAPK8	+
ATF2	MMP2	+
ATF3	TP53	-
ATF4	FUS	+
ATG16L1	CLTC	+
ATG3	MAP1LC3B	+
ATM	ABL1	+
ATM	AVEN	+
ATM	COP1	-
AURKA	KNSTRN	-
AURKA	LATS2	+
AURKA	PIN1	-
AURKA	PPP1R1B	-
AURKB	KNL1	-
BAMBI	ACVRL1	+
BAMBI	BMPR1A	+
BAMBI	BMPR1B	+
BAMBI	DVL2	+
BAMBI	TGFBR1	+
BAZ1B	H2AFX	+
BBC3	BAK1	+
BBC3	BAX	+
BBC3	BAX	+
BBC3	BCL2	-
BBC3	BCL2	-
BBC3	BCL2L1	-
BBC3	BCL2L1	-
BBC3	BCL2L2	-
BBC3	BCL2L2	-
BBC3	MCL1	-
BBC3	MCL1	-
BCAR1	CRK	+
BCAR1	SMAD3	-
BCL10	IKBKG	+
BCL2L2	BAK1	-
BCL2L2	BAX	-
BCL2L2	BIK	-
BCOR	BCL6	+
BECN1	AMBRA1	+
BECN1	HMGB1	+
BECN1	PIK3C3	+
BECN1	PIK3R4	+
BIK	BCL2L1	-
BIRC2	CASP2	-
BIRC2	CASP3	-
BIRC2	CASP7	-
BIRC2	CASP9	-
BIRC2	IKBKG	+
BIRC2	MAP3K14	-
BIRC2	RIPK1	+
BIRC2	RIPK2	+
BIRC3	BIRC2	+
BIRC3	CASP3	-
BIRC3	CASP7	-
BIRC3	CASP9	-
BIRC3	DIABLO	-
BIRC3	RIPK1	+
BIRC3	RIPK2	+
BIRC6	HTRA2	-
BMP2	ACTR2	+
BMP2	ACVR2B	+
BMP2	BMPR2	+
BMP2	SHH	-
BMP2	SMAD1	+
BMP2	SMAD5	+
BMP2	SMAD9	+
BMPR1B	SMAD1	+
BMPR1B	SMAD5	+
BMPR1B	SMAD9	+
BNIP2	CDC42	+
CAMK1	CREB1	+
CAMK1	HDAC5	+
CAMK1	NUMB	-
CAMK4	CREB1	+
CAMK4	HDAC4	-
CAMK4	HDAC5	-
CAMKK1	CAMK4	+
CAMKK1	PRKAA1	+
CAMKK2	CAMK4	+
CAMKK2	PRKAA1	+
CASP6	LMNA	+
CASP6	NUMA1	+
CASP8AP2	CASP8	+
CASP8AP2	NFKB1	+
CAV1	PDGFRB	+
CAV1	TRPC1	+
CBL	CFLAR	-
CBL	EGFR	+
CBL	ERBB2	-
CBL	FRS2	-
CBL	INSR	-
CBL	LRIG1	-
CBL	MET	+
CBL	PDGFRA	+
CBL	PIK3R1	-
CCL5	CCR5	+
CCND2	CDK4	+
CCND2	CDK6	+
CCND2	RB1	+
CCND3	CCNE1	+
CCND3	CDK4	+
CCND3	CDK6	+
CCNE1	CDK2	+
CCR5	CXCR4	+
CDC25A	CDK1	+
CDC25A	CDK2	+
CDC25A	CDK4	+
CDC25A	MAPK3	-
CDC25A	RAF1	-
CDC25B	CDK1	+
CDC25C	CDK1	+
CDC42	GSK3B	-
CDC42	IQGAP1	+
CDC42	MAP3K1	+
CDC42	MAP3K10	+
CDC42	MAP3K11	+
CDC42	PRKCZ	+
CDH2	CDON	+
CDON	ABL1	+
CDON	BNIP2	+
CDON	MAPK14	+
CDON	SPAG9	+
CEBPB	E2F4	+
CEBPB	FOXO1	+
CEBPB	HSP90AA1	+
CEBPB	RUNX2	+
CEBPB	STAT3	+
CFL1	ACTC1	-
CFL2	ACTC1	+
CHUK	CCND1	+
CHUK	CREBBP	+
CHUK	CYLD	+
CHUK	FOXO3	-
CHUK	H3F3B	+
CHUK	IRF7	+
CHUK	IRS1	-
CHUK	RELA	+
CLSPN	CHEK1	+
COL1A1	DDR1	+
COP1	NLRC4	-
CREB1	BCL2	+
CREB1	CREBBP	+
CREB1	CRTC2	+
CREB1	CTNNB1	+
CREB1	FST	+
CREB1	GDNF	+
CREB1	SMAD3	+
CREB1	TAF1	+
CREBBP	WRN	+
CRKL	MAP4K1	+
CRY1	ARNTL	-
CTNND1	CDH1	+
CTNND1	CDH2	+
CTNND1	CDH3	+
CTNND1	RAC1	+
CTNND1	VAV2	+
DAAM1	RAC1	+
DAAM1	RHOA	+
DAB2IP	AR	-
DAB2IP	ERN1	+
DAB2IP	GSK3B	+
DAB2IP	HRAS	-
DAB2IP	JAK2	-
DAB2IP	KRAS	-
DAB2IP	MAP3K5	+
DAXX	FAS	-
DAXX	MAP3K5	+
DAXX	MDM2	+
DAXX	TGFBR2	+
DDB1	E2F1	+
DDB2	CDKN1A	-
DDB2	E2F1	+
DDB2	XPC	+
DDIT3	BCL2	-
DDIT3	BCL2L11	+
DDIT3	ITGAM	+
DIABLO	BIRC2	+
DIABLO	BIRC5	-
DIABLO	BIRC6	-
DIABLO	XIAP	+
DLC1	BCL2L11	-
DNAJB1	HSF1	+
DUSP1	FANCI	-
DUSP1	MAPK1	+
DUSP1	MAPK10	-
DUSP1	MAPK14	+
DUSP1	MAPK3	+
DUSP1	MAPK9	-
DUSP3	EGFR	-
DUSP3	ERBB2	-
DUSP3	MAPK1	+
DUSP3	MAPK14	+
DUSP3	MAPK3	-
DUSP3	MAPK9	-
DVL1	APC	-
DVL1	AXIN1	-
DVL1	CTNNB1	+
DVL1	DAAM1	+
DVL1	F2R	+
DVL1	GSK3B	-
DVL1	JUN	+
DVL1	LRP6	+
DVL1	RAC1	+
DVL1	ROCK1	+
DVL1	SMAD3	+
DVL2	AXIN1	+
DVL2	LRP6	+
DVL2	PARD6A	+
