#tail	head	KSP index	path cost
CTNNB1	Proliferation	1	1.00000e+00
AKT1	BAD	2	1.00000e+00
BAD	Apoptosis	2	1.00000e+00
BAD	BCL2	3	1.00000e+00
BCL2	Apoptosis	3	1.00000e+00
BCL2	BAK1	4	1.00000e+00
BAK1	Apoptosis	4	1.00000e+00
BAK1	BAX	5	1.00000e+00
BAX	Apoptosis	5	1.00000e+00
BAX	APAF1	6	1.00000e+00
APAF1	CASP3	6	1.00000e+00
CASP3	CDKN1A	6	1.00000e+00
CDKN1A	CDK1	6	1.00000e+00
CDK1	ABL1	6	1.00000e+00
ABL1	ATR	6	1.00000e+00
ATR	CREB1	6	1.00000e+00
CREB1	Apoptosis	6	1.00000e+00
CASP3	CASP2	7	1.00000e+00
CASP2	DIABLO	7	1.00000e+00
DIABLO	BIRC5	7	1.00000e+00
BIRC5	AURKB	7	1.00000e+00
AURKB	ATM	7	1.00000e+00
ATM	CREB1	7	1.00000e+00
CASP3	BIRC2	8	1.00000e+00
BIRC2	CASP2	8	1.00000e+00
CASP2	CASP8	9	1.00000e+00
CASP8	CASP6	9	1.00000e+00
CASP6	HIPK2	9	1.00000e+00
HIPK2	CREB1	9	1.00000e+00
ABL1	CDK5	10	1.00000e+00
CREB1	CREBBP	10	1.00000e+00
CREBBP	ARNT	10	1.00000e+00
ARNT	FOS	10	1.00000e+00
FOS	CCND1	10	1.00000e+00
CCND1	CDK4	10	1.00000e+00
CDK4	BRCA1	10	1.00000e+00
BRCA1	ABL1	10	1.00000e+00
CDK5	AR	10	1.00000e+00
AR	FOXO1	10	1.00000e+00
FOXO1	Apoptosis	10	1.00000e+00
ARNT	EPO	11	1.00000e+00
EPO	EPOR	11	1.00000e+00
EPOR	JAK2	11	1.00000e+00
JAK2	EZH2	11	1.00000e+00
EZH2	AR	11	1.00000e+00
CDK1	FOXO1	12	1.00000e+00
AR	CDKN1A	12	1.00000e+00
CDK1	CDC25A	13	1.00000e+00
CDC25A	CDK2	13	1.00000e+00
CDK2	FOXO1	13	1.00000e+00
CDK2	CEBPB	14	1.00000e+00
CEBPB	FOXO1	14	1.00000e+00
ATR	E2F1	15	1.00000e+00
FOXO1	CCND1	15	1.00000e+00
E2F1	ETV4	15	1.00000e+00
ETV4	AGTR1	15	1.00000e+00
AGTR1	GNG12	15	1.00000e+00
GNG12	AKT2	15	1.00000e+00
AKT2	FOXO3	15	1.00000e+00
FOXO3	Apoptosis	15	1.00000e+00
ATR	ATM	16	1.00000e+00
ATM	E2F1	16	1.00000e+00
ATM	CHEK2	17	1.00000e+00
CHEK2	E2F1	17	1.00000e+00
ATM	CHEK1	18	1.00000e+00
CHEK1	E2F3	18	1.00000e+00
E2F3	E2F1	18	1.00000e+00
FOS	JUN	19	1.00000e+00
E2F3	AURKA	19	1.00000e+00
AURKA	HDAC6	19	1.00000e+00
HDAC6	ELAVL1	19	1.00000e+00
ELAVL1	FOS	19	1.00000e+00
JUN	ETS1	19	1.00000e+00
ETS1	EGR1	19	1.00000e+00
EGR1	ACE	19	1.00000e+00
ACE	AGT	19	1.00000e+00
AGT	AGTR1	19	1.00000e+00
AURKA	FADD	20	1.00000e+00
FADD	CASP10	20	1.00000e+00
CASP10	MAP3K14	20	1.00000e+00
MAP3K14	IKBKB	20	1.00000e+00
IKBKB	FOXO3	20	1.00000e+00
CASP10	CASP7	21	1.00000e+00
CASP7	PARP1	21	1.00000e+00
PARP1	HIF1A	21	1.00000e+00
HIF1A	EDN1	21	1.00000e+00
EDN1	EDNRA	21	1.00000e+00
EDNRA	GNAQ	21	1.00000e+00
GNAQ	HRAS	21	1.00000e+00
HRAS	JUN	21	1.00000e+00
CASP7	ITGB4	22	1.00000e+00
ITGB4	PIK3CA	22	1.00000e+00
