#tail	head	KSP index	path cost
BRCA1	GADD45A	1	1.00000e+00
BRCA1	ABL1	2	1.00000e+00
ABL1	CEBPB	2	1.00000e+00
CEBPB	FOXO1	2	1.00000e+00
ABL1	ABL2	3	1.00000e+00
ABL2	CEBPB	3	1.00000e+00
CEBPB	HSP90AA1	4	1.00000e+00
CEBPB	RUNX2	5	1.00000e+00
RUNX2	BMP2	5	1.00000e+00
BMP2	SMAD1	5	1.00000e+00
SMAD1	DVL1	5	1.00000e+00
DVL1	F2R	5	1.00000e+00
F2R	GNA13	5	1.00000e+00
F2R	GNA12	6	1.00000e+00
GNA12	ARHGEF1	6	1.00000e+00
ARHGEF1	GNA13	6	1.00000e+00
F2R	GNAI1	7	1.00000e+00
DVL1	GSK3B	8	1.00000e+00
DVL1	LRP6	9	1.00000e+00
LRP6	GSK3B	9	1.00000e+00
DVL1	SMAD3	10	1.00000e+00
SMAD3	FOXA1	10	1.00000e+00
SMAD3	FOXO1	11	1.00000e+00
SMAD3	GATA3	12	1.00000e+00
SMAD3	GNRHR	13	1.00000e+00
GNRHR	GNA11	13	1.00000e+00
GNRHR	GNAI1	14	1.00000e+00
GNRHR	GNAS	15	1.00000e+00
SMAD3	PAX6	16	1.00000e+00
PAX6	CDH2	16	1.00000e+00
CDH2	CDON	16	1.00000e+00
CDON	BNIP2	16	1.00000e+00
BNIP2	CDC42	16	1.00000e+00
CDC42	GSK3B	16	1.00000e+00
CDC42	MAP3K10	17	1.00000e+00
MAP3K10	MAP2K7	17	1.00000e+00
MAP2K7	IRS1	17	1.00000e+00
IRS1	GRB2	17	1.00000e+00
IRS1	IRS4	18	1.00000e+00
IRS4	GRB2	18	1.00000e+00
IRS4	PIK3CG	19	1.00000e+00
PIK3CG	PDPK1	19	1.00000e+00
PDPK1	PKN1	19	1.00000e+00
PKN1	FOXO1	19	1.00000e+00
IRS4	GRAP	20	1.00000e+00
GRAP	PIK3CG	20	1.00000e+00
PKN1	MAP3K20	21	1.00000e+00
MAP3K20	MAP2K3	21	1.00000e+00
MAP2K3	DYRK1B	21	1.00000e+00
DYRK1B	HNF1A	21	1.00000e+00
MAP2K3	MAPK14	22	1.00000e+00
MAPK14	FOS	22	1.00000e+00
MAP2K3	MAPK11	23	1.00000e+00
MAPK11	MAPKAPK5	23	1.00000e+00
MAPKAPK5	DNAJB1	23	1.00000e+00
DNAJB1	HSF1	23	1.00000e+00
MAPK11	TAB1	24	1.00000e+00
TAB1	MAP3K7	24	1.00000e+00
MAP3K7	CHUK	24	1.00000e+00
CHUK	FOXO3	24	1.00000e+00
FOXO3	GADD45A	24	1.00000e+00
FOXO3	PINK1	25	1.00000e+00
PINK1	HTRA2	25	1.00000e+00
HTRA2	BIRC2	25	1.00000e+00
BIRC2	MAP3K14	25	1.00000e+00
MAP3K14	RCAN1	25	1.00000e+00
RCAN1	PPP3CA	25	1.00000e+00
PPP3CA	FLNA	25	1.00000e+00
PINK1	BECN1	26	1.00000e+00
BECN1	HMGB1	26	1.00000e+00
HMGB1	TLR4	26	1.00000e+00
TLR4	TICAM1	26	1.00000e+00
TICAM1	IKBKE	26	1.00000e+00
IKBKE	RELA	26	1.00000e+00
RELA	EGR1	26	1.00000e+00
EGR1	ID3	26	1.00000e+00
IKBKE	IRF3	27	1.00000e+00
IRF3	IFNB1	27	1.00000e+00
IFNB1	TYK2	27	1.00000e+00
TYK2	DUSP3	27	1.00000e+00
DUSP3	MAPK1	27	1.00000e+00
MAPK1	FOS	27	1.00000e+00
IFNB1	IFNAR1	28	1.00000e+00
IFNAR1	TYK2	28	1.00000e+00
MAPK1	DUSP6	29	1.00000e+00
DUSP6	FOXO1	29	1.00000e+00
MAPK1	ARRB1	30	1.00000e+00
ARRB1	F2RL1	30	1.00000e+00
F2RL1	GNAQ	30	1.00000e+00
ARRB1	ADRB2	31	1.00000e+00
ADRB2	GNAS	31	1.00000e+00
ARRB1	DVL2	32	1.00000e+00
DVL2	LRP6	32	1.00000e+00
DVL2	PARD6A	33	1.00000e+00
PARD6A	SMURF1	33	1.00000e+00
SMURF1	DAB2IP	33	1.00000e+00
DAB2IP	GSK3B	33	1.00000e+00
DAB2IP	HRAS	34	1.00000e+00
DAB2IP	MAP3K5	35	1.00000e+00
MAP3K5	MAPK14	35	1.00000e+00
MAP3K5	MAP2K6	36	1.00000e+00
MAP2K6	MAPK14	36	1.00000e+00
MAPK14	ELAVL1	37	1.00000e+00
ELAVL1	FOS	37	1.00000e+00
ELAVL1	DUSP1	38	1.00000e+00
DUSP1	MAPK9	38	1.00000e+00
MAPK9	H3F3B	38	1.00000e+00
DUSP1	MAPK10	39	1.00000e+00
MAPK10	MAPK8IP3	39	1.00000e+00
MAPK8IP3	MAPK9	39	1.00000e+00
MAPK10	DIABLO	40	1.00000e+00
DIABLO	BIRC2	40	1.00000e+00
PPP3CA	PPP1R1B	41	1.00000e+00
PPP1R1B	PPP1CA	41	1.00000e+00
PPP1CA	HDAC1	41	1.00000e+00
PPP1CA	TRIM28	42	1.00000e+00
TRIM28	GADD45A	42	1.00000e+00
MAP3K14	RELA	43	1.00000e+00
EGR1	IGF2	44	1.00000e+00
IGF2	INSR	44	1.00000e+00
INSR	GAB1	44	1.00000e+00
GAB1	GRB2	44	1.00000e+00
INSR	CBL	45	1.00000e+00
CBL	LRIG1	45	1.00000e+00
LRIG1	ERBB4	45	1.00000e+00
ERBB4	GRB2	45	1.00000e+00
ERBB4	SHC3	46	1.00000e+00
SHC3	GRB2	46	1.00000e+00
GAB1	ARHGAP32	47	1.00000e+00
ARHGAP32	CRKL	47	1.00000e+00
CRKL	MAP4K1	47	1.00000e+00
MAP4K1	MAP3K11	47	1.00000e+00
MAP3K11	PIN1	47	1.00000e+00
PIN1	TP73	47	1.00000e+00
TP73	CASP6	47	1.00000e+00
CASP6	HIPK2	47	1.00000e+00
TP73	TP53INP1	48	1.00000e+00
TP53INP1	GABARAPL2	48	1.00000e+00
GABARAPL2	SQSTM1	48	1.00000e+00
SQSTM1	TRAF6	48	1.00000e+00
TRAF6	UBE2N	48	1.00000e+00
UBE2N	H2AFX	48	1.00000e+00
H2AFX	KAT2A	48	1.00000e+00
KAT2A	SMAD7	48	1.00000e+00
SMAD7	PPP1CA	48	1.00000e+00
TRAF6	TNFRSF11A	49	1.00000e+00
TNFRSF11A	TRAF2	49	1.00000e+00
TRAF2	UBE2N	49	1.00000e+00
TRAF2	MTOR	50	1.00000e+00
MTOR	ULK1	50	1.00000e+00
ULK1	PRKAA1	50	1.00000e+00
PRKAA1	FOXO1	50	1.00000e+00
MTOR	ULK2	51	1.00000e+00
ULK2	PRKAA2	51	1.00000e+00
PRKAA2	ULK1	51	1.00000e+00
ULK2	PRKAB1	52	1.00000e+00
PRKAB1	ULK1	52	1.00000e+00
ULK2	RB1CC1	53	1.00000e+00
RB1CC1	ULK1	53	1.00000e+00
UBE2N	TRAF2	56	1.00000e+00
TP53INP1	MAP1LC3A	60	1.00000e+00
MAP1LC3A	SQSTM1	60	1.00000e+00
TP73	UVRAG	72	1.00000e+00
UVRAG	SH3GLB1	72	1.00000e+00
SH3GLB1	CBL	72	1.00000e+00
INSR	PTPN1	74	1.00000e+00
PTPN1	LAT	74	1.00000e+00
LAT	GRB2	74	1.00000e+00
PTPN1	CAV1	75	1.00000e+00
CAV1	LRP6	75	1.00000e+00
LAT	VAV1	76	1.00000e+00
VAV1	GRB2	76	1.00000e+00
VAV1	CBL	77	1.00000e+00
VAV1	PRKCQ	79	1.00000e+00
PRKCQ	HSF1	79	1.00000e+00
INSR	PTPN6	80	1.00000e+00
PTPN6	LYN	80	1.00000e+00
LYN	CBL	80	1.00000e+00
LYN	VAV1	82	1.00000e+00
PTPN6	STAT6	86	1.00000e+00
STAT6	GATA3	86	1.00000e+00
PTPN6	IL4R	87	1.00000e+00
IL4R	STAT6	87	1.00000e+00
IL4R	IL13RA1	88	1.00000e+00
IL13RA1	STAT6	88	1.00000e+00
PTPN6	ZAP70	89	1.00000e+00
ZAP70	LAT	89	1.00000e+00
ZAP70	GAB2	90	1.00000e+00
GAB2	ARHGAP32	90	1.00000e+00
RELA	NR3C1	121	1.00000e+00
NR3C1	CAV1	121	1.00000e+00
NR3C1	NR2F2	122	1.00000e+00
NR2F2	RXRB	122	1.00000e+00
RXRB	PPARA	122	1.00000e+00
PPARA	FOXO1	122	1.00000e+00
RXRB	NR1H2	123	1.00000e+00
NR1H2	PPARA	123	1.00000e+00
NR2F2	THRA	124	1.00000e+00
THRA	RXRB	124	1.00000e+00
THRA	RARB	125	1.00000e+00
RARB	RXRB	125	1.00000e+00
THRA	RARG	127	1.00000e+00
RARG	RXRB	127	1.00000e+00
NR3C1	NR4A1	130	1.00000e+00
NR4A1	NR2F2	130	1.00000e+00
RELA	SP1	138	1.00000e+00
SP1	LAT	138	1.00000e+00
SP1	IER3	139	1.00000e+00
IER3	PPP2R5C	139	1.00000e+00
PPP2R5C	GSK3A	139	1.00000e+00
PPP2R5C	CAMK4	140	1.00000e+00
CAMK4	NOS1	140	1.00000e+00
NOS1	HDAC2	140	1.00000e+00
PPP2R5C	CAMK1	141	1.00000e+00
CAMK1	NUMB	141	1.00000e+00
NUMB	GLI1	141	1.00000e+00
PPP2R5C	ATF1	142	1.00000e+00
ATF1	SH3RF1	142	1.00000e+00
SH3RF1	MAP3K11	142	1.00000e+00
MTOR	GRB10	143	1.00000e+00
GRB10	INSR	143	1.00000e+00
ULK1	PRKAA2	167	1.00000e+00
PRKAA2	INSR	167	1.00000e+00
ULK1	RB1CC1	190	1.00000e+00
RB1CC1	ULK2	190	1.00000e+00
