#tail	head	KSP index	path cost
HGF	MET	1	1.00000e+00
GSK3A	MAF	2	1.00000e+00
GSK3A	MAFA	3	1.00000e+00
GSK3A	MCL1	4	1.00000e+00
GSK3A	CAMKK2	5	1.00000e+00
CAMKK2	CAMK4	5	1.00000e+00
CAMK4	HDAC4	5	1.00000e+00
HDAC4	MEF2A	5	1.00000e+00
CAMKK2	CAMK1	6	1.00000e+00
CAMK1	HDAC5	6	1.00000e+00
HDAC5	MEF2A	6	1.00000e+00
HDAC5	MEF2D	7	1.00000e+00
HDAC5	RUNX2	8	1.00000e+00
RUNX2	NOTCH1	8	1.00000e+00
RUNX2	BMP2	9	1.00000e+00
BMP2	SMAD1	9	1.00000e+00
SMAD1	DVL1	9	1.00000e+00
DVL1	SMAD3	9	1.00000e+00
SMAD3	MAX	9	1.00000e+00
SMAD3	NOTCH1	10	1.00000e+00
SMAD3	PAX6	11	1.00000e+00
PAX6	MAF	11	1.00000e+00
PAX6	CDH2	12	1.00000e+00
CDH2	CDON	12	1.00000e+00
CDON	ABL1	12	1.00000e+00
ABL1	MAP3K1	12	1.00000e+00
ABL1	CBL	13	1.00000e+00
CBL	INSR	13	1.00000e+00
INSR	GAB1	13	1.00000e+00
GAB1	ARHGAP32	13	1.00000e+00
ARHGAP32	CDC42	13	1.00000e+00
CDC42	MAP3K1	13	1.00000e+00
ABL1	ABI1	14	1.00000e+00
ABI1	CBL	14	1.00000e+00
CDC42	MAP3K10	15	1.00000e+00
MAP3K10	MAP2K4	15	1.00000e+00
MAP3K10	MAP2K7	16	1.00000e+00
MAP2K7	MAPK10	16	1.00000e+00
MAPK10	DIABLO	16	1.00000e+00
DIABLO	BIRC2	16	1.00000e+00
BIRC2	MAP3K14	16	1.00000e+00
MAP3K14	MAP3K1	16	1.00000e+00
MAPK10	ATF2	17	1.00000e+00
ATF2	MAPK8	17	1.00000e+00
MAP3K14	CHUK	18	1.00000e+00
CHUK	NCOR2	18	1.00000e+00
CHUK	NFKB1	19	1.00000e+00
