#tail	head	KSP index	path cost
PIK3CA	Apoptosis	1	1.00000e+00
ATM	AKT1	2	1.00000e+00
AKT1	BAD	2	1.00000e+00
BAD	Apoptosis	2	1.00000e+00
BAD	BCL2	3	1.00000e+00
BCL2	Apoptosis	3	1.00000e+00
BCL2	BAK1	4	1.00000e+00
BAK1	Apoptosis	4	1.00000e+00
BAK1	BAX	5	1.00000e+00
BAX	Apoptosis	5	1.00000e+00
BAX	APAF1	6	1.00000e+00
APAF1	CASP3	6	1.00000e+00
CASP3	EIF4G2	6	1.00000e+00
EIF4G2	CDK1	6	1.00000e+00
CDK1	CSNK2A1	6	1.00000e+00
CSNK2A1	ARNT	6	1.00000e+00
ARNT	FOS	6	1.00000e+00
FOS	CREM	6	1.00000e+00
CREM	CREB1	6	1.00000e+00
CREB1	Apoptosis	6	1.00000e+00
CASP3	EIF2A	7	1.00000e+00
EIF2A	ATF4	7	1.00000e+00
ATF4	CEBPB	7	1.00000e+00
CEBPB	FOXO1	7	1.00000e+00
FOXO1	Apoptosis	7	1.00000e+00
CASP3	CASP6	8	1.00000e+00
CASP6	HIPK2	8	1.00000e+00
HIPK2	CREB1	8	1.00000e+00
CASP6	CASP8	9	1.00000e+00
CASP8	MAP3K14	9	1.00000e+00
MAP3K14	IKBKB	9	1.00000e+00
IKBKB	CHUK	9	1.00000e+00
CHUK	CCND1	9	1.00000e+00
CCND1	CDKN1B	9	1.00000e+00
CDKN1B	CDK1	9	1.00000e+00
CASP8	CASP10	10	1.00000e+00
CASP10	MAP3K14	10	1.00000e+00
CASP10	CASP7	11	1.00000e+00
CASP7	PARP1	11	1.00000e+00
PARP1	HIF1A	11	1.00000e+00
HIF1A	CCND1	11	1.00000e+00
CASP10	BID	12	1.00000e+00
BID	BCL2L1	12	1.00000e+00
BCL2L1	CASP9	12	1.00000e+00
CASP9	CASP7	12	1.00000e+00
CASP9	BIRC6	13	1.00000e+00
BIRC6	CASP7	13	1.00000e+00
CASP7	ITGB4	14	1.00000e+00
ITGB4	PIK3CG	14	1.00000e+00
PIK3CG	RAC1	14	1.00000e+00
RAC1	MAPK8	14	1.00000e+00
MAPK8	CDC25B	14	1.00000e+00
CDC25B	CDK1	14	1.00000e+00
ARNT	EPO	15	1.00000e+00
EPO	EPOR	15	1.00000e+00
EPOR	JAK2	15	1.00000e+00
JAK2	EZH2	15	1.00000e+00
EZH2	AR	15	1.00000e+00
AR	FOXO1	15	1.00000e+00
AR	ESR1	16	1.00000e+00
ESR1	FOXO1	16	1.00000e+00
CDKN1B	CDK2	17	1.00000e+00
ESR1	CDKN1B	17	1.00000e+00
CDK2	FOXO1	17	1.00000e+00
ESR1	CCND1	18	1.00000e+00
ESR1	BTG2	19	1.00000e+00
BTG2	CCND1	19	1.00000e+00
CDK2	CEBPB	20	1.00000e+00
CDK2	CDK7	21	1.00000e+00
CDK7	E2F1	21	1.00000e+00
E2F1	ETV4	21	1.00000e+00
ETV4	AGTR1	21	1.00000e+00
AGTR1	GNG12	21	1.00000e+00
GNG12	AKT2	21	1.00000e+00
AKT2	CREB1	21	1.00000e+00
E2F1	ECT2	22	1.00000e+00
ECT2	CDC42	22	1.00000e+00
CDC42	GSK3B	22	1.00000e+00
GSK3B	CREB1	22	1.00000e+00
E2F1	AURKA	23	1.00000e+00
AURKA	HDAC6	23	1.00000e+00
HDAC6	ELAVL1	23	1.00000e+00
ELAVL1	FOS	23	1.00000e+00
IKBKB	FOXO3	24	1.00000e+00
AURKA	FADD	24	1.00000e+00
FADD	MYD88	24	1.00000e+00
MYD88	IRAK1	24	1.00000e+00
