#tail	head	KSP index	path cost
EGFR	MAP2K1	1	1.00000e+00
AXIN1	CSNK1A1	2	1.00000e+00
CSNK1A1	BID	2	1.00000e+00
BID	BAX	2	1.00000e+00
BAX	APAF1	2	1.00000e+00
APAF1	CASP3	2	1.00000e+00
CASP3	CDKN1A	2	1.00000e+00
APC	CTNNB1	3	1.00000e+00
CTNNB1	EP300	3	1.00000e+00
EP300	BCL6	3	1.00000e+00
BCL6	ATR	3	1.00000e+00
ATR	ATM	3	1.00000e+00
ATM	AKT1	3	1.00000e+00
AKT1	CDKN1A	3	1.00000e+00
EP300	AR	4	1.00000e+00
AR	CASP2	4	1.00000e+00
CASP2	BID	4	1.00000e+00
BID	BAK1	5	1.00000e+00
BAK1	BAX	5	1.00000e+00
BAK1	BAD	6	1.00000e+00
BAD	BCL2	6	1.00000e+00
BCL2	BAX	6	1.00000e+00
CASP3	AKT1	7	1.00000e+00
AKT1	CDK2	8	1.00000e+00
CDK2	CDKN1A	8	1.00000e+00
CDK2	CDKN1B	9	1.00000e+00
CDKN1B	CCND3	9	1.00000e+00
CCND3	CDK6	9	1.00000e+00
CDK6	CDKN1A	9	1.00000e+00
CDK2	BRCA1	10	1.00000e+00
BRCA1	ABL1	10	1.00000e+00
ABL1	CDKN1B	10	1.00000e+00
CDK2	ATRIP	11	1.00000e+00
ATRIP	BRCA1	11	1.00000e+00
ATM	E2F1	12	1.00000e+00
CCND3	CDK4	12	1.00000e+00
CDK4	FOXM1	12	1.00000e+00
FOXM1	AURKB	12	1.00000e+00
AURKB	ATM	12	1.00000e+00
E2F1	CDKN1A	12	1.00000e+00
ATM	CHEK1	13	1.00000e+00
CHEK1	CDC25A	13	1.00000e+00
CDC25A	CDK1	13	1.00000e+00
CDK1	E2F1	13	1.00000e+00
CDK1	CSNK2B	14	1.00000e+00
CSNK2B	CHEK2	14	1.00000e+00
CHEK2	E2F1	14	1.00000e+00
CDK1	CSNK2A1	15	1.00000e+00
CSNK2A1	ESR1	15	1.00000e+00
ESR1	CCND1	15	1.00000e+00
CCND1	CDK6	15	1.00000e+00
