Source	Target
EGFR	MAP2K1
AXIN1	CSNK1A1
CSNK1A1	BID
BID	BAX
BAX	APAF1
APAF1	CASP3
CASP3	CDKN1A
APC	CTNNB1
CTNNB1	EP300
EP300	E2F1
E2F1	CDKN1A
EP300	AR
AR	ESR1
ESR1	CCND1
CCND1	CDK4
CDK4	FOXM1
FOXM1	AURKB
AURKB	ATM
ATM	AKT1
AKT1	CDKN1A
AKT1	CDK2
CDK2	CDC25A
CDC25A	CDK1
CDK1	BIRC5
BIRC5	CASP3
CDK1	ABL1
ABL1	CASP9
CASP9	CASP3
ABL1	ATR
ATR	E2F1
ATR	CHEK2
CHEK2	E2F1
E2F1	CASP3
E2F1	APAF1
WNT3A	LRP6
CDKN1A	CDK1
ATR	ATM
AKT1	BRAF
BMI1	CDKN2A
CDKN2A	ATR
ABL1	EGFR
AKT1	BRCA1
BRCA1	ABL1
ABL1	CAV1
CAV1	EGFR
CAV1	LRP6
CAV1	PDGFRA
PDGFRA	CRK
CRK	CBL
CBL	EGFR
CRK	ARHGAP32
ARHGAP32	CDC42
CDC42	GSK3B
GSK3B	APC
GSK3B	AXIN1
CDK1	EGFR
GSK3B	CDK1
GSK3B	CDC25A
GSK3B	BORA
BORA	AURKA
AURKA	CDC25B
CDC25B	CDK1
AURKA	AR
AR	CASP2
CASP2	BID
CASP3	EIF4G2
EIF4G2	CDK1
BID	BAK1
BAK1	BAX
BAK1	BAD
BAD	BCL2
BCL2	BAX
