#tail	head	KSP index	path cost
CDKN1A	TP53	1	1.00000e+00
CDKN1A	CDK1	2	1.00000e-09
CDK1	TP53	2	1.00000e-09
CDK1	ABL1	3	1.00000e-09
ABL1	ATR	3	1.00000e-09
ATR	TP53	3	1.00000e-09
ATR	ATM	4	1.00000e-09
ATM	TP53	4	1.00000e-09
ATM	BLM	5	1.00000e-09
BLM	TP53	5	1.00000e-09
ATM	BID	6	1.00000e-09
BID	BAX	6	1.00000e-09
BAX	APAF1	6	1.00000e-09
APAF1	CASP3	6	1.00000e-09
CASP3	BAD	6	1.00000e-09
BAD	TP53	6	1.00000e-09
ATM	AKT1	7	1.00000e-09
AKT1	CDK2	7	1.00000e-09
CDK2	TP53	7	1.00000e-09
CDK2	CDK7	8	1.00000e-09
CDK7	TP53	8	1.00000e-09
CDK7	ESR1	9	1.00000e-09
ESR1	AR	9	1.00000e-09
AR	CTNNB1	9	1.00000e-09
CTNNB1	EP300	9	1.00000e-09
EP300	TP53	9	1.00000e-09
CDK7	CDK4	10	1.00000e-09
CDK4	FOXM1	10	1.00000e-09
FOXM1	MMP2	10	1.00000e-09
MMP2	EGFR	10	1.00000e-09
EGFR	CASP3	10	1.00000e-09
APAF1	CASP9	11	1.00000e-09
BAD	BCL2L1	11	1.00000e-09
BCL2L1	APAF1	11	1.00000e-09
CASP9	CASP6	11	1.00000e-09
CASP6	HIPK2	11	1.00000e-09
HIPK2	TP53	11	1.00000e-09
BID	BAK1	12	1.00000e-09
CASP6	CASP8	12	1.00000e-09
CASP8	BID	12	1.00000e-09
BAK1	DIABLO	12	1.00000e-09
DIABLO	BIRC2	12	1.00000e-09
BIRC2	IKBKG	12	1.00000e-09
IKBKG	IKBKB	12	1.00000e-09
IKBKB	EIF2AK2	12	1.00000e-09
EIF2AK2	TP53	12	1.00000e-09
BAX	DIABLO	13	1.00000e-09
BAK1	BAX	13	1.00000e-09
IKBKB	CHUK	14	1.00000e-09
CHUK	CCND1	14	1.00000e-09
CCND1	CDK6	14	1.00000e-09
CDK6	CTNNB1	14	1.00000e-09
EP300	DDX5	15	1.00000e-09
DDX5	TP53	15	1.00000e-09
ESR1	IGF1	16	1.00000e-09
AR	ESR1	16	1.00000e-09
DDX5	AR	16	1.00000e-09
IGF1	IGF1R	16	1.00000e-09
IGF1R	CSK	16	1.00000e-09
CSK	FYN	16	1.00000e-09
FYN	CDK5	16	1.00000e-09
CDK5	TP53	16	1.00000e-09
ESR1	CXCL12	17	1.00000e-09
CXCL12	CXCR4	17	1.00000e-09
CXCR4	JAK2	17	1.00000e-09
JAK2	APOA1	17	1.00000e-09
APOA1	APOE	17	1.00000e-09
APOE	LRP5	17	1.00000e-09
LRP5	AXIN1	17	1.00000e-09
AXIN1	CSNK1A1	17	1.00000e-09
CSNK1A1	TP53	17	1.00000e-09
CSNK1A1	CREB1	18	1.00000e-09
CREB1	CREBBP	18	1.00000e-09
CREBBP	CSK	18	1.00000e-09
CDK5	MAPK10	19	1.00000e-09
MAPK10	TP53	19	1.00000e-09
CDK5	DAB1	20	1.00000e-09
DAB1	NOTCH1	20	1.00000e-09
NOTCH1	HIF1A	20	1.00000e-09
HIF1A	TP53	20	1.00000e-09
NOTCH1	MYC	21	1.00000e-09
MYC	E2F1	21	1.00000e-09
E2F1	CHEK1	21	1.00000e-09
CHEK1	TP53	21	1.00000e-09
IGF1R	IRS1	22	1.00000e-09
NOTCH1	MTOR	22	1.00000e-09
MTOR	GRB10	22	1.00000e-09
GRB10	NEDD4	22	1.00000e-09
NEDD4	IGF1R	22	1.00000e-09
IRS1	GRB2	22	1.00000e-09
GRB2	GAB1	22	1.00000e-09
GAB1	ARHGAP32	22	1.00000e-09
ARHGAP32	CDC42	22	1.00000e-09
CDC42	MAP3K1	22	1.00000e-09
MAP3K1	MAP2K1	22	1.00000e-09
MAP2K1	GSK3B	22	1.00000e-09
GSK3B	TP53	22	1.00000e-09
GSK3B	BORA	23	1.00000e-09
BORA	AURKA	23	1.00000e-09
AURKA	TP53	23	1.00000e-09
AURKA	HDAC6	24	1.00000e-09
HDAC6	HSP90AA1	24	1.00000e-09
HSP90AA1	DAPK1	24	1.00000e-09
DAPK1	TP53	24	1.00000e-09
AURKA	BRCA1	25	1.00000e-09
BRCA1	GADD45A	25	1.00000e-09
GADD45A	MAPK14	25	1.00000e-09
MAPK14	TP53	25	1.00000e-09
