#tail	head	KSP index	path cost
WNT7A	PRKACA	1	1.00000e+00
PRKACA	STK11	1	1.00000e+00
STK11	TP53	1	1.00000e+00
WNT7A	FZD3	2	1.00000e+00
FZD3	DVL1	2	1.00000e+00
DVL1	CTNNB1	2	1.00000e+00
CTNNB1	EP300	2	1.00000e+00
EP300	E2F1	2	1.00000e+00
E2F1	CDKN1A	2	1.00000e+00
EP300	AR	3	1.00000e+00
AR	ESR1	3	1.00000e+00
ESR1	CCND1	3	1.00000e+00
CCND1	CDK4	3	1.00000e+00
CDK4	FOXM1	3	1.00000e+00
FOXM1	AURKB	3	1.00000e+00
AURKB	ATM	3	1.00000e+00
ATM	AKT1	3	1.00000e+00
AKT1	CDKN1A	3	1.00000e+00
AKT1	CDK2	4	1.00000e+00
CDK2	CDC25A	4	1.00000e+00
CDC25A	CDK1	4	1.00000e+00
CDK1	BIRC5	4	1.00000e+00
BIRC5	CASP3	4	1.00000e+00
CASP3	CDKN1A	4	1.00000e+00
CDK1	ABL1	5	1.00000e+00
ABL1	CASP9	5	1.00000e+00
CASP9	CASP3	5	1.00000e+00
ABL1	ATR	6	1.00000e+00
ATR	E2F1	6	1.00000e+00
ATR	CHEK2	7	1.00000e+00
CHEK2	E2F1	7	1.00000e+00
E2F1	CASP3	8	1.00000e+00
E2F1	APAF1	9	1.00000e+00
APAF1	CASP3	9	1.00000e+00
CASP3	CASP10	10	1.00000e+00
CASP10	BID	10	1.00000e+00
BID	BAK1	10	1.00000e+00
BAK1	DIABLO	10	1.00000e+00
DIABLO	BIRC2	10	1.00000e+00
BIRC2	IKBKG	10	1.00000e+00
IKBKG	IKBKB	10	1.00000e+00
IKBKB	IRF3	10	1.00000e+00
IRF3	CCL5	10	1.00000e+00
CCL5	CCR5	10	1.00000e+00
CCR5	CXCR4	10	1.00000e+00
CXCR4	JAK2	10	1.00000e+00
JAK2	APOA1	10	1.00000e+00
APOA1	APOE	10	1.00000e+00
APOE	LRP5	10	1.00000e+00
LRP5	AXIN1	10	1.00000e+00
AXIN1	GSK3A	10	1.00000e+00
GSK3A	BCL3	10	1.00000e+00
BCL3	HDAC3	10	1.00000e+00
HDAC3	CDKN1A	10	1.00000e+00
BAK1	BAX	11	1.00000e+00
BAX	DIABLO	11	1.00000e+00
CASP9	CASP6	12	1.00000e+00
BAX	CYCS	12	1.00000e+00
CYCS	CASP9	12	1.00000e+00
CASP6	HIPK2	12	1.00000e+00
HIPK2	CREB1	12	1.00000e+00
CREB1	CREBBP	12	1.00000e+00
CREBBP	CSK	12	1.00000e+00
CSK	FYN	12	1.00000e+00
FYN	CAV1	12	1.00000e+00
CAV1	EGFR	12	1.00000e+00
EGFR	JAK1	12	1.00000e+00
JAK1	JAK2	12	1.00000e+00
CASP6	CASP8	13	1.00000e+00
CASP8	MAP3K14	13	1.00000e+00
MAP3K14	IKBKB	13	1.00000e+00
CASP8	CASP8AP2	14	1.00000e+00
CASP8AP2	NFKB1	14	1.00000e+00
NFKB1	IKBKB	14	1.00000e+00
CASP8	CASP7	15	1.00000e+00
CASP7	ITGB4	15	1.00000e+00
ITGB4	PIK3CA	15	1.00000e+00
PIK3CA	MTOR	15	1.00000e+00
MTOR	GRB10	15	1.00000e+00
GRB10	NEDD4	15	1.00000e+00
NEDD4	IGF1R	15	1.00000e+00
IGF1R	IRS1	15	1.00000e+00
IRS1	JAK2	15	1.00000e+00
IGF1R	CSK	16	1.00000e+00
EGFR	CDH1	17	1.00000e+00
CDH1	LRP6	17	1.00000e+00
LRP6	AXIN1	17	1.00000e+00
HDAC3	SMAD7	18	1.00000e+00
CREBBP	IFNAR2	18	1.00000e+00
JAK1	IRS1	18	1.00000e+00
IRS1	GRB2	18	1.00000e+00
SMAD7	MAP3K7	18	1.00000e+00
MAP3K7	CHUK	18	1.00000e+00
CHUK	CREBBP	18	1.00000e+00
IFNAR2	JAK1	18	1.00000e+00
GRB2	GAB1	18	1.00000e+00
GAB1	ARHGAP32	18	1.00000e+00
ARHGAP32	CDC42	18	1.00000e+00
CDC42	MAP3K1	18	1.00000e+00
MAP3K1	MAP2K1	18	1.00000e+00
MAP2K1	GSK3B	18	1.00000e+00
GSK3B	CEBPB	18	1.00000e+00
CEBPB	HSP90AA1	18	1.00000e+00
HSP90AA1	DAPK1	18	1.00000e+00
DAPK1	DAPK3	18	1.00000e+00
DAPK3	CDKN1A	18	1.00000e+00
HDAC3	HIST1H4D	19	1.00000e+00
HIST1H4D	TP53BP1	19	1.00000e+00
TP53BP1	HDAC4	19	1.00000e+00
HDAC4	CDKN1A	19	1.00000e+00
TP53BP1	TP53	20	1.00000e+00
JAK1	IL4R	21	1.00000e+00
IL4R	IRS1	21	1.00000e+00
GSK3B	BORA	22	1.00000e+00
BORA	AURKA	22	1.00000e+00
AURKA	HDAC6	22	1.00000e+00
HDAC6	HSP90AA1	22	1.00000e+00
AURKA	BRCA1	23	1.00000e+00
BRCA1	GADD45A	23	1.00000e+00
GADD45A	MAPK14	23	1.00000e+00
MAPK14	CDKN1A	23	1.00000e+00
MAPK14	ELAVL1	24	1.00000e+00
ELAVL1	CDKN1A	24	1.00000e+00
ELAVL1	DUSP1	25	1.00000e+00
DUSP1	MAPK1	25	1.00000e+00
MAPK1	CDKN1A	25	1.00000e+00
