#tail	head	KSP index	path cost
WNT7A	LRP6	1	1.00000e+00
CDKN1A	CDK1	2	1.00000e+00
CDK1	ABL1	2	1.00000e+00
ABL1	ATR	2	1.00000e+00
ATR	ATM	2	1.00000e+00
ATM	AKT1	2	1.00000e+00
AKT1	BRAF	2	1.00000e+00
BMI1	CDKN2A	3	1.00000e+00
CDKN2A	ATR	3	1.00000e+00
ABL1	EGFR	4	1.00000e+00
AKT1	BRCA1	4	1.00000e+00
BRCA1	ABL1	4	1.00000e+00
ABL1	CAV1	5	1.00000e+00
CAV1	EGFR	5	1.00000e+00
CAV1	LRP6	6	1.00000e+00
CAV1	PDGFRA	7	1.00000e+00
PDGFRA	CRK	7	1.00000e+00
CRK	CBL	7	1.00000e+00
CBL	EGFR	7	1.00000e+00
CRK	ARHGAP32	8	1.00000e+00
ARHGAP32	CDC42	8	1.00000e+00
CDC42	GSK3B	8	1.00000e+00
GSK3B	APC	8	1.00000e+00
GSK3B	AXIN1	9	1.00000e+00
CDK1	EGFR	10	1.00000e+00
GSK3B	CDK1	10	1.00000e+00
GSK3B	CDC25A	11	1.00000e+00
CDC25A	CDK1	11	1.00000e+00
GSK3B	BORA	12	1.00000e+00
BORA	AURKA	12	1.00000e+00
AURKA	CDC25B	12	1.00000e+00
CDC25B	CDK1	12	1.00000e+00
AURKA	AR	13	1.00000e+00
AR	CASP2	13	1.00000e+00
CASP2	BID	13	1.00000e+00
BID	BAX	13	1.00000e+00
BAX	APAF1	13	1.00000e+00
APAF1	CASP3	13	1.00000e+00
CASP3	EIF4G2	13	1.00000e+00
EIF4G2	CDK1	13	1.00000e+00
BID	BAK1	14	1.00000e+00
BAK1	BAX	14	1.00000e+00
BAK1	BAD	15	1.00000e+00
BAD	BCL2	15	1.00000e+00
BCL2	BAX	15	1.00000e+00
CASP3	EIF3J	16	1.00000e+00
EIF3J	EIF4G2	16	1.00000e+00
CASP3	CTNNB1	17	1.00000e+00
CTNNB1	EP300	17	1.00000e+00
EP300	E2F1	17	1.00000e+00
E2F1	CDK1	17	1.00000e+00
CASP3	CASP6	18	1.00000e+00
CASP6	HIPK2	18	1.00000e+00
HIPK2	CDKN1B	18	1.00000e+00
CDKN1B	CDK1	18	1.00000e+00
CASP6	CASP8	19	1.00000e+00
CASP8	CASP9	19	1.00000e+00
CASP9	BIRC6	19	1.00000e+00
BIRC6	DIABLO	19	1.00000e+00
DIABLO	BIRC2	19	1.00000e+00
BIRC2	IKBKG	19	1.00000e+00
IKBKG	IKBKB	19	1.00000e+00
IKBKB	CHUK	19	1.00000e+00
CHUK	CCND1	19	1.00000e+00
CCND1	CDKN1B	19	1.00000e+00
CCND1	CDK6	20	1.00000e+00
CDK6	CDKN1B	20	1.00000e+00
CCND1	CDK4	21	1.00000e+00
CDK4	FOXM1	21	1.00000e+00
FOXM1	CDC25A	21	1.00000e+00
CDK1	EPN1	22	1.00000e+00
EPN1	EGFR	22	1.00000e+00
CDK1	CSNK2B	23	1.00000e+00
CSNK2B	CHEK2	23	1.00000e+00
CHEK2	ELAVL1	23	1.00000e+00
ELAVL1	ERBB2	23	1.00000e+00
E2F1	FGFR1	24	1.00000e+00
CHEK2	E2F1	24	1.00000e+00
FGFR1	FRS2	24	1.00000e+00
FRS2	CBL	24	1.00000e+00
CHEK2	ASF1A	25	1.00000e+00
ASF1A	EP300	25	1.00000e+00
