#tail	head	KSP index	path cost
WNT3A	LRP5	1	1.00000e+00
LRP5	AXIN1	1	1.00000e+00
AXIN1	CSNK1A1	1	1.00000e+00
CSNK1A1	TP53	1	1.00000e+00
WNT3A	DVL1	2	1.00000e+00
DVL1	CTNNB1	2	1.00000e+00
CTNNB1	EP300	2	1.00000e+00
EP300	E2F1	2	1.00000e+00
E2F1	CDKN1A	2	1.00000e+00
EP300	AR	3	1.00000e+00
AR	ESR1	3	1.00000e+00
ESR1	CCND1	3	1.00000e+00
CCND1	CDK4	3	1.00000e+00
CDK4	FOXM1	3	1.00000e+00
FOXM1	AURKB	3	1.00000e+00
AURKB	ATM	3	1.00000e+00
ATM	AKT1	3	1.00000e+00
AKT1	CDKN1A	3	1.00000e+00
AKT1	CDK2	4	1.00000e+00
CDK2	CDC25A	4	1.00000e+00
CDC25A	CDK1	4	1.00000e+00
CDK1	BIRC5	4	1.00000e+00
BIRC5	CASP3	4	1.00000e+00
CASP3	CDKN1A	4	1.00000e+00
CDK1	ABL1	5	1.00000e+00
ABL1	CASP9	5	1.00000e+00
CASP9	CASP3	5	1.00000e+00
