#tail	head	KSP index	path cost
WNT3A	LRP6	1	1.00000e+00
CDKN1A	CDK1	2	1.00000e+00
CDK1	ABL1	2	1.00000e+00
ABL1	ATR	2	1.00000e+00
ATR	ATM	2	1.00000e+00
ATM	AKT1	2	1.00000e+00
AKT1	BRAF	2	1.00000e+00
BMI1	CDKN2A	3	1.00000e+00
CDKN2A	ATR	3	1.00000e+00
ABL1	EGFR	4	1.00000e+00
AKT1	BRCA1	4	1.00000e+00
BRCA1	ABL1	4	1.00000e+00
ABL1	CAV1	5	1.00000e+00
CAV1	EGFR	5	1.00000e+00
CAV1	LRP6	6	1.00000e+00
CAV1	PDGFRA	7	1.00000e+00
PDGFRA	CRK	7	1.00000e+00
CRK	CBL	7	1.00000e+00
CBL	EGFR	7	1.00000e+00
CRK	ARHGAP32	8	1.00000e+00
ARHGAP32	CDC42	8	1.00000e+00
CDC42	GSK3B	8	1.00000e+00
GSK3B	APC	8	1.00000e+00
GSK3B	AXIN1	9	1.00000e+00
CDK1	EGFR	10	1.00000e+00
GSK3B	CDK1	10	1.00000e+00
GSK3B	CDC25A	11	1.00000e+00
CDC25A	CDK1	11	1.00000e+00
GSK3B	BORA	12	1.00000e+00
BORA	AURKA	12	1.00000e+00
AURKA	CDC25B	12	1.00000e+00
CDC25B	CDK1	12	1.00000e+00
AURKA	AR	13	1.00000e+00
AR	CASP2	13	1.00000e+00
CASP2	BID	13	1.00000e+00
BID	BAX	13	1.00000e+00
BAX	APAF1	13	1.00000e+00
APAF1	CASP3	13	1.00000e+00
CASP3	EIF4G2	13	1.00000e+00
EIF4G2	CDK1	13	1.00000e+00
BID	BAK1	14	1.00000e+00
BAK1	BAX	14	1.00000e+00
BAK1	BAD	15	1.00000e+00
BAD	BCL2	15	1.00000e+00
BCL2	BAX	15	1.00000e+00
CASP3	EIF3J	16	1.00000e+00
EIF3J	EIF4G2	16	1.00000e+00
CASP3	CTNNB1	17	1.00000e+00
CTNNB1	EP300	17	1.00000e+00
EP300	E2F1	17	1.00000e+00
E2F1	CDK1	17	1.00000e+00
CASP3	CASP6	18	1.00000e+00
CASP6	HIPK2	18	1.00000e+00
HIPK2	CDKN1B	18	1.00000e+00
CDKN1B	CDK1	18	1.00000e+00
CASP6	CASP8	19	1.00000e+00
CASP8	CASP9	19	1.00000e+00
CASP9	BIRC6	19	1.00000e+00
BIRC6	DIABLO	19	1.00000e+00
DIABLO	BIRC2	19	1.00000e+00
BIRC2	IKBKG	19	1.00000e+00
IKBKG	IKBKB	19	1.00000e+00
IKBKB	CHUK	19	1.00000e+00
CHUK	CCND1	19	1.00000e+00
CCND1	CDKN1B	19	1.00000e+00
CCND1	CDK6	20	1.00000e+00
CDK6	CDKN1B	20	1.00000e+00
CCND1	CDK4	21	1.00000e+00
CDK4	FOXM1	21	1.00000e+00
FOXM1	CDC25A	21	1.00000e+00
CDK1	EPN1	22	1.00000e+00
EPN1	EGFR	22	1.00000e+00
CDK1	CSNK2B	23	1.00000e+00
CSNK2B	CHEK2	23	1.00000e+00
CHEK2	ELAVL1	23	1.00000e+00
ELAVL1	ERBB2	23	1.00000e+00
E2F1	FGFR1	24	1.00000e+00
CHEK2	E2F1	24	1.00000e+00
FGFR1	FRS2	24	1.00000e+00
FRS2	CBL	24	1.00000e+00
CHEK2	ASF1A	25	1.00000e+00
ASF1A	EP300	25	1.00000e+00
CTNNB1	FOXO3	26	1.00000e+00
EP300	CTNNB1	26	1.00000e+00
CDKN1B	CDK2	26	1.00000e+00
FOXO3	CDKN1B	26	1.00000e+00
CDK2	CDK7	26	1.00000e+00
CDK7	E2F1	26	1.00000e+00
CDKN1B	CCND3	27	1.00000e+00
CCND3	CCNE1	27	1.00000e+00
CCNE1	CDK2	27	1.00000e+00
CBL	ERBB2	28	1.00000e+00
CBL	INSR	29	1.00000e+00
INSR	GRB10	29	1.00000e+00
GRB10	IGF1R	29	1.00000e+00
IGF1R	CSK	29	1.00000e+00
CSK	FYN	29	1.00000e+00
FYN	CDK5	29	1.00000e+00
CDK5	CAMKK2	29	1.00000e+00
CAMKK2	CAMK1	29	1.00000e+00
CAMK1	CREB1	29	1.00000e+00
CREB1	FST	29	1.00000e+00
FST	INHBA	29	1.00000e+00
INHBA	BAMBI	29	1.00000e+00
BAMBI	DVL2	29	1.00000e+00
DVL2	AXIN1	29	1.00000e+00
INSR	GAB1	30	1.00000e+00
GAB1	GRB2	30	1.00000e+00
GRB2	KHDRBS2	30	1.00000e+00
KHDRBS2	CREBBP	30	1.00000e+00
CREBBP	CREB1	30	1.00000e+00
INHBA	ACVR2A	31	1.00000e+00
ACVR2A	ACVR1	31	1.00000e+00
ACVR1	SMAD1	31	1.00000e+00
SMAD1	DVL1	31	1.00000e+00
DVL1	APC	31	1.00000e+00
DVL1	AXIN1	32	1.00000e+00
DVL1	LRP6	33	1.00000e+00
DVL1	F2R	34	1.00000e+00
F2R	GNAI1	34	1.00000e+00
GNAI1	MMP2	34	1.00000e+00
MMP2	EGFR	34	1.00000e+00
F2R	GNA13	35	1.00000e+00
GNA13	PTK2B	35	1.00000e+00
PTK2B	EGFR	35	1.00000e+00
F2R	GNA12	36	1.00000e+00
GNA12	ARHGEF1	36	1.00000e+00
ARHGEF1	GNA13	36	1.00000e+00
PTK2B	LYN	37	1.00000e+00
LYN	EPOR	37	1.00000e+00
EPOR	JAK2	37	1.00000e+00
JAK2	APOA1	37	1.00000e+00
APOA1	APOE	37	1.00000e+00
APOE	LRP5	37	1.00000e+00
LRP5	AXIN1	37	1.00000e+00
FYN	CTNND1	38	1.00000e+00
JAK2	MAP3K5	38	1.00000e+00
MAP3K5	MAP2K3	38	1.00000e+00
MAP2K3	DYRK1B	38	1.00000e+00
DYRK1B	HNF1A	38	1.00000e+00
HNF1A	ESR1	38	1.00000e+00
ESR1	IGF1	38	1.00000e+00
IGF1	IGF1R	38	1.00000e+00
CTNND1	CDH1	38	1.00000e+00
CDH1	LRP6	38	1.00000e+00
JAK2	JAK1	39	1.00000e+00
JAK1	MAP3K5	39	1.00000e+00
JAK2	GHR	40	1.00000e+00
GHR	JAK1	40	1.00000e+00
JAK1	IRS1	41	1.00000e+00
IRS1	NCK1	41	1.00000e+00
NCK1	PAK1	41	1.00000e+00
PAK1	CASP1	41	1.00000e+00
CASP1	GAPDH	41	1.00000e+00
GAPDH	EDN1	41	1.00000e+00
EDN1	EDNRA	41	1.00000e+00
EDNRA	GNAQ	41	1.00000e+00
GNAQ	HRAS	41	1.00000e+00
JAK1	IL4R	42	1.00000e+00
IL4R	IRS1	42	1.00000e+00
PAK1	ARHGEF7	43	1.00000e+00
ARHGEF7	CBLC	43	1.00000e+00
CBLC	LRIG1	43	1.00000e+00
LRIG1	EGFR	43	1.00000e+00
LRIG1	ERBB2	44	1.00000e+00
LRIG1	ERBB3	45	1.00000e+00
LRIG1	ERBB4	46	1.00000e+00
ERBB4	ESR1	46	1.00000e+00
ESR1	GATA3	47	1.00000e+00
GATA3	CEBPB	47	1.00000e+00
CEBPB	HSP90AA1	47	1.00000e+00
HSP90AA1	DAPK1	47	1.00000e+00
DAPK1	MAPK1	47	1.00000e+00
MAPK1	BRAF	47	1.00000e+00
GATA3	CEBPA	48	1.00000e+00
CEBPA	MPO	48	1.00000e+00
MPO	APOA1	48	1.00000e+00
CEBPA	SPI1	49	1.00000e+00
