#tail	head	KSP index	path cost
TP53	EGFR	1	1.00000e+00
CDKN1A	CDK1	2	1.00000e+00
CDK1	ABL1	2	1.00000e+00
ABL1	ATR	2	1.00000e+00
ATR	ATM	2	1.00000e+00
ATM	AKT1	2	1.00000e+00
AKT1	BRAF	2	1.00000e+00
BMI1	CDKN2A	3	1.00000e+00
CDKN2A	ATR	3	1.00000e+00
ABL1	EGFR	4	1.00000e+00
AKT1	BRCA1	4	1.00000e+00
BRCA1	ABL1	4	1.00000e+00
ABL1	CAV1	5	1.00000e+00
CAV1	EGFR	5	1.00000e+00
CAV1	LRP6	6	1.00000e+00
CAV1	PDGFRA	7	1.00000e+00
PDGFRA	CRK	7	1.00000e+00
CRK	CBL	7	1.00000e+00
CBL	EGFR	7	1.00000e+00
CRK	ARHGAP32	8	1.00000e+00
ARHGAP32	CDC42	8	1.00000e+00
CDC42	GSK3B	8	1.00000e+00
GSK3B	APC	8	1.00000e+00
GSK3B	AXIN1	9	1.00000e+00
CDK1	EGFR	10	1.00000e+00
GSK3B	CDK1	10	1.00000e+00
GSK3B	CDC25A	11	1.00000e+00
CDC25A	CDK1	11	1.00000e+00
GSK3B	BORA	12	1.00000e+00
BORA	AURKA	12	1.00000e+00
AURKA	CDC25B	12	1.00000e+00
CDC25B	CDK1	12	1.00000e+00
AURKA	AR	13	1.00000e+00
AR	CASP2	13	1.00000e+00
CASP2	BID	13	1.00000e+00
BID	BAX	13	1.00000e+00
BAX	APAF1	13	1.00000e+00
APAF1	CASP3	13	1.00000e+00
CASP3	EIF4G2	13	1.00000e+00
EIF4G2	CDK1	13	1.00000e+00
BID	BAK1	14	1.00000e+00
BAK1	BAX	14	1.00000e+00
BAK1	BAD	15	1.00000e+00
BAD	BCL2	15	1.00000e+00
BCL2	BAX	15	1.00000e+00
