#tail	head	KSP index	path cost
EGFR	MAP2K1	1	1.00000e+00
AXIN1	CSNK1A1	2	1.00000e+00
CSNK1A1	BID	2	1.00000e+00
BID	BAX	2	1.00000e+00
BAX	APAF1	2	1.00000e+00
APAF1	CASP3	2	1.00000e+00
CASP3	CDKN1A	2	1.00000e+00
APC	CTNNB1	3	1.00000e+00
CTNNB1	EP300	3	1.00000e+00
EP300	BCL6	3	1.00000e+00
BCL6	ATR	3	1.00000e+00
ATR	ATM	3	1.00000e+00
ATM	AKT1	3	1.00000e+00
AKT1	CDKN1A	3	1.00000e+00
EP300	AR	4	1.00000e+00
AR	CASP2	4	1.00000e+00
CASP2	BID	4	1.00000e+00
BID	BAK1	5	1.00000e+00
BAK1	BAX	5	1.00000e+00
BAK1	BAD	6	1.00000e+00
BAD	BCL2	6	1.00000e+00
BCL2	BAX	6	1.00000e+00
CASP3	AKT1	7	1.00000e+00
AKT1	CDK2	8	1.00000e+00
CDK2	CDKN1A	8	1.00000e+00
CDK2	CDKN1B	9	1.00000e+00
CDKN1B	CCND3	9	1.00000e+00
CCND3	CDK6	9	1.00000e+00
CDK6	CDKN1A	9	1.00000e+00
CDK2	BRCA1	10	1.00000e+00
BRCA1	ABL1	10	1.00000e+00
ABL1	CDKN1B	10	1.00000e+00
CDK2	ATRIP	11	1.00000e+00
ATRIP	BRCA1	11	1.00000e+00
ATM	E2F1	12	1.00000e+00
CCND3	CDK4	12	1.00000e+00
CDK4	FOXM1	12	1.00000e+00
FOXM1	AURKB	12	1.00000e+00
AURKB	ATM	12	1.00000e+00
E2F1	CDKN1A	12	1.00000e+00
ATM	CHEK1	13	1.00000e+00
CHEK1	CDC25A	13	1.00000e+00
CDC25A	CDK1	13	1.00000e+00
CDK1	E2F1	13	1.00000e+00
CDK1	CSNK2B	14	1.00000e+00
CSNK2B	CHEK2	14	1.00000e+00
CHEK2	E2F1	14	1.00000e+00
CDK1	CSNK2A1	15	1.00000e+00
CSNK2A1	ESR1	15	1.00000e+00
ESR1	CCND1	15	1.00000e+00
CCND1	CDK6	15	1.00000e+00
CDK6	RB1	16	1.00000e+00
RB1	E2F1	16	1.00000e+00
E2F1	DDB2	17	1.00000e+00
DDB2	CDKN1A	17	1.00000e+00
ATR	CHEK2	18	1.00000e+00
E2F1	CDKN2A	18	1.00000e+00
CHEK2	ELAVL1	18	1.00000e+00
CDKN2A	ATR	18	1.00000e+00
ELAVL1	CDKN1A	18	1.00000e+00
ELAVL1	IL13	19	1.00000e+00
IL13	IL4R	19	1.00000e+00
IL4R	IRS1	19	1.00000e+00
IRS1	GRB2	19	1.00000e+00
GRB2	GAB1	19	1.00000e+00
GAB1	ARHGAP32	19	1.00000e+00
ARHGAP32	CDC42	19	1.00000e+00
CDC42	GSK3B	19	1.00000e+00
GSK3B	CDKN1A	19	1.00000e+00
ELAVL1	FOS	20	1.00000e+00
FOS	JUN	20	1.00000e+00
JUN	CREB1	20	1.00000e+00
CREB1	CREBBP	20	1.00000e+00
CREBBP	CSK	20	1.00000e+00
CSK	FYN	20	1.00000e+00
FYN	CTNND1	20	1.00000e+00
CTNND1	CDH2	20	1.00000e+00
CDH2	CDON	20	1.00000e+00
CDON	BNIP2	20	1.00000e+00
BNIP2	CDC42	20	1.00000e+00
ELAVL1	DUSP1	21	1.00000e+00
DUSP1	MAPK1	21	1.00000e+00
MAPK1	CDKN1A	21	1.00000e+00
MAPK1	DAPK1	22	1.00000e+00
DAPK1	DAPK3	22	1.00000e+00
DAPK3	CDKN1A	22	1.00000e+00
DAPK1	CAMKK2	23	1.00000e+00
CAMKK2	CAMK4	23	1.00000e+00
CAMK4	CREBBP	23	1.00000e+00
CAMKK2	CAMK1	24	1.00000e+00
CAMK1	CREB1	24	1.00000e+00
FYN	CBL	25	1.00000e+00
CBL	CFLAR	25	1.00000e+00
CFLAR	CASP8	25	1.00000e+00
CASP8	CASP9	25	1.00000e+00
CASP9	BIRC6	25	1.00000e+00
BIRC6	DIABLO	25	1.00000e+00
DIABLO	BIRC2	25	1.00000e+00
BIRC2	IKBKG	25	1.00000e+00
IKBKG	IKBKB	25	1.00000e+00
IKBKB	CYLD	25	1.00000e+00
CYLD	BCL3	25	1.00000e+00
BCL3	HDAC3	25	1.00000e+00
HDAC3	CDKN1A	25	1.00000e+00
IKBKB	CHUK	26	1.00000e+00
CHUK	CYLD	26	1.00000e+00
BCL3	HDAC1	27	1.00000e+00
HDAC1	NFE2L2	27	1.00000e+00
NFE2L2	CCL2	27	1.00000e+00
CCL2	CCR5	27	1.00000e+00
CCR5	CXCR4	27	1.00000e+00
CXCR4	JAK2	27	1.00000e+00
JAK2	GAB2	27	1.00000e+00
GAB2	ARHGAP32	27	1.00000e+00
GSK3B	HDAC4	28	1.00000e+00
HDAC4	CDKN1A	28	1.00000e+00
IRS1	JAK1	29	1.00000e+00
HDAC4	RUNX2	29	1.00000e+00
RUNX2	NOTCH1	29	1.00000e+00
NOTCH1	MTOR	29	1.00000e+00
MTOR	IRS1	29	1.00000e+00
JAK1	MAP3K5	29	1.00000e+00
MAP3K5	CDKN1A	29	1.00000e+00
HDAC4	MEF2A	30	1.00000e+00
MEF2A	MYOD1	30	1.00000e+00
MYOD1	SMARCA4	30	1.00000e+00
SMARCA4	CDKN1A	30	1.00000e+00
SMARCA4	GADD45A	31	1.00000e+00
GADD45A	MAPK14	31	1.00000e+00
MAPK14	CDKN1A	31	1.00000e+00
MAPK14	DDB2	32	1.00000e+00
MAPK14	FOXO3	33	1.00000e+00
FOXO3	FASLG	33	1.00000e+00
FASLG	FAS	33	1.00000e+00
FAS	FADD	33	1.00000e+00
FADD	CASP10	33	1.00000e+00
CASP10	MAP3K14	33	1.00000e+00
MAP3K14	MAP3K1	33	1.00000e+00
MAP3K1	MAP2K1	33	1.00000e+00
MAPK14	FGFR1	34	1.00000e+00
FGFR1	BCAR1	34	1.00000e+00
BCAR1	CRK	34	1.00000e+00
CRK	MAP4K1	34	1.00000e+00
MAP4K1	MAP3K1	34	1.00000e+00
MAP3K1	MAP2K7	35	1.00000e+00
MAP2K7	IRS1	35	1.00000e+00
GRB2	PAK1	36	1.00000e+00
PAK1	MAP2K1	36	1.00000e+00
GAB1	PLCG1	37	1.00000e+00
PLCG1	PRKCA	37	1.00000e+00
PRKCA	CDKN1A	37	1.00000e+00
FAS	MAP3K5	38	1.00000e+00
PRKCA	KIT	38	1.00000e+00
