#tail	head	KSP index	path cost
EGFR	MAP2K1	1	1.00000e+00
AXIN1	CSNK1A1	2	1.00000e+00
CSNK1A1	BID	2	1.00000e+00
BID	BAX	2	1.00000e+00
BAX	APAF1	2	1.00000e+00
APAF1	CASP3	2	1.00000e+00
CASP3	CDKN1A	2	1.00000e+00
APC	CTNNB1	3	1.00000e+00
CTNNB1	EP300	3	1.00000e+00
EP300	BCL6	3	1.00000e+00
BCL6	ATR	3	1.00000e+00
ATR	ATM	3	1.00000e+00
ATM	AKT1	3	1.00000e+00
AKT1	CDKN1A	3	1.00000e+00
EP300	AR	4	1.00000e+00
AR	CASP2	4	1.00000e+00
CASP2	BID	4	1.00000e+00
BID	BAK1	5	1.00000e+00
BAK1	BAX	5	1.00000e+00
BAK1	BAD	6	1.00000e+00
BAD	BCL2	6	1.00000e+00
BCL2	BAX	6	1.00000e+00
CASP3	AKT1	7	1.00000e+00
AKT1	CDK2	8	1.00000e+00
CDK2	CDKN1A	8	1.00000e+00
CDK2	CDKN1B	9	1.00000e+00
CDKN1B	CCND3	9	1.00000e+00
CCND3	CDK6	9	1.00000e+00
CDK6	CDKN1A	9	1.00000e+00
CDK2	BRCA1	10	1.00000e+00
BRCA1	ABL1	10	1.00000e+00
ABL1	CDKN1B	10	1.00000e+00
CDK2	ATRIP	11	1.00000e+00
ATRIP	BRCA1	11	1.00000e+00
ATM	E2F1	12	1.00000e+00
CCND3	CDK4	12	1.00000e+00
CDK4	FOXM1	12	1.00000e+00
FOXM1	AURKB	12	1.00000e+00
AURKB	ATM	12	1.00000e+00
E2F1	CDKN1A	12	1.00000e+00
ATM	CHEK1	13	1.00000e+00
CHEK1	CDC25A	13	1.00000e+00
CDC25A	CDK1	13	1.00000e+00
CDK1	E2F1	13	1.00000e+00
CDK1	CSNK2B	14	1.00000e+00
CSNK2B	CHEK2	14	1.00000e+00
CHEK2	E2F1	14	1.00000e+00
CDK1	CSNK2A1	15	1.00000e+00
CSNK2A1	ESR1	15	1.00000e+00
ESR1	CCND1	15	1.00000e+00
CCND1	CDK6	15	1.00000e+00
CDK6	RB1	16	1.00000e+00
RB1	E2F1	16	1.00000e+00
E2F1	DDB2	17	1.00000e+00
DDB2	CDKN1A	17	1.00000e+00
ATR	CHEK2	18	1.00000e+00
E2F1	CDKN2A	18	1.00000e+00
CHEK2	ELAVL1	18	1.00000e+00
CDKN2A	ATR	18	1.00000e+00
ELAVL1	CDKN1A	18	1.00000e+00
ELAVL1	IL13	19	1.00000e+00
IL13	IL4R	19	1.00000e+00
IL4R	IRS1	19	1.00000e+00
IRS1	GRB2	19	1.00000e+00
GRB2	GAB1	19	1.00000e+00
GAB1	ARHGAP32	19	1.00000e+00
ARHGAP32	CDC42	19	1.00000e+00
CDC42	GSK3B	19	1.00000e+00
GSK3B	CDKN1A	19	1.00000e+00
ELAVL1	FOS	20	1.00000e+00
FOS	JUN	20	1.00000e+00
JUN	CREB1	20	1.00000e+00
CREB1	CREBBP	20	1.00000e+00
CREBBP	CSK	20	1.00000e+00
CSK	FYN	20	1.00000e+00
FYN	CTNND1	20	1.00000e+00
CTNND1	CDH2	20	1.00000e+00
CDH2	CDON	20	1.00000e+00
CDON	BNIP2	20	1.00000e+00
BNIP2	CDC42	20	1.00000e+00
