#tail	head	KSP index	path cost
PIK3CA	Apoptosis	1	1.00000e+00
AXIN1	CSNK1A1	2	1.00000e+00
CSNK1A1	BID	2	1.00000e+00
BID	BAK1	2	1.00000e+00
BAK1	Apoptosis	2	1.00000e+00
BAK1	BAD	3	1.00000e+00
BAD	Apoptosis	3	1.00000e+00
BAD	BCL2	4	1.00000e+00
BCL2	Apoptosis	4	1.00000e+00
BCL2	BAX	5	1.00000e+00
BAX	Apoptosis	5	1.00000e+00
BAX	APAF1	6	1.00000e+00
APAF1	CASP3	6	1.00000e+00
CASP3	AKT1	6	1.00000e+00
AKT1	CREB1	6	1.00000e+00
CREB1	Apoptosis	6	1.00000e+00
AKT1	BRCA1	7	1.00000e+00
BRCA1	ABL1	7	1.00000e+00
ABL1	ATR	7	1.00000e+00
ATR	CREB1	7	1.00000e+00
ATR	ATM	8	1.00000e+00
ATM	CREB1	8	1.00000e+00
CREB1	CTNNB1	9	1.00000e+00
CTNNB1	FOXO1	9	1.00000e+00
FOXO1	Apoptosis	9	1.00000e+00
CREB1	CREBBP	10	1.00000e+00
CREBBP	CTNNB1	10	1.00000e+00
CREBBP	ARNT	11	1.00000e+00
ARNT	FOS	11	1.00000e+00
FOS	CCND1	11	1.00000e+00
CCND1	CDK6	11	1.00000e+00
CDK6	CDKN1A	11	1.00000e+00
CDKN1A	CDK1	11	1.00000e+00
CDK1	FOXO1	11	1.00000e+00
ARNT	EPO	12	1.00000e+00
EPO	EPOR	12	1.00000e+00
EPOR	JAK2	12	1.00000e+00
JAK2	EZH2	12	1.00000e+00
EZH2	AR	12	1.00000e+00
AR	FOXO1	12	1.00000e+00
AR	CDKN1A	13	1.00000e+00
CDK1	CDC25A	14	1.00000e+00
CDC25A	CDK2	14	1.00000e+00
CDK2	FOXO1	14	1.00000e+00
CDK2	CEBPB	15	1.00000e+00
CEBPB	FOXO1	15	1.00000e+00
CDK6	CTNNB1	16	1.00000e+00
CDK2	CDKN1B	16	1.00000e+00
CDKN1B	CCND3	16	1.00000e+00
CCND3	CDK6	16	1.00000e+00
CCND3	CDK4	17	1.00000e+00
CDK4	FOXM1	17	1.00000e+00
FOXM1	AURKB	17	1.00000e+00
AURKB	BIRC5	17	1.00000e+00
BIRC5	CASP9	17	1.00000e+00
CASP9	CASP6	17	1.00000e+00
CASP6	CASP8	17	1.00000e+00
CASP8	MAP3K14	17	1.00000e+00
MAP3K14	IKBKB	17	1.00000e+00
IKBKB	CDKN2A	17	1.00000e+00
CDKN2A	CDK6	17	1.00000e+00
CASP8	CASP10	18	1.00000e+00
CASP10	MAP3K14	18	1.00000e+00
CASP10	CASP7	19	1.00000e+00
CASP7	PARP1	19	1.00000e+00
PARP1	HIF1A	19	1.00000e+00
HIF1A	CCND1	19	1.00000e+00
CASP7	ITGB4	20	1.00000e+00
ITGB4	PIK3CG	20	1.00000e+00
PIK3CG	RAC1	20	1.00000e+00
RAC1	MAPK8	20	1.00000e+00
MAPK8	ATF2	20	1.00000e+00
ATF2	CCND1	20	1.00000e+00
