TNF,FAS,RIP1i,NFkBi,C8i,cIAPi,ATPi,C3i,ROSi,MOMPi,MPTi,fc:RIP1,fc:NFkB,fc:C8,fc:cIAP,fc:ATP,fc:C3,fc:ROS,fc:MOMP,fc:MPT
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.038841361744325,-0.0025899779695124675,0.002862320723227246,-0.0025899779695124675,-0.0025899779695124675,0.002862320723227246,0.002862320723227246,0.002862320723227246,0.002862320723227246
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.038841361744325,-10.038841361744325,1.0746357912656275,-10.038841361744325,-10.038841361744325,1.0746357912656275,1.0746357912656275,1.0746357912656275,1.0746357912656275
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276640901614163,0.05238739099195559,-9.891869660640115,0.05238739099195559,0.05238739099195559,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.04926946318545707,-0.04926946318545707,0.05265939855865536,-10.038841361744325,-0.04926946318545707,0.05265939855865536,0.05265939855865536,0.05265939855865536,0.05265939855865536
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0025853366789774825,0.0025853366789774825,-0.002868010886053824,0.0025853366789774825,-10.038841361744325,-0.002868010886053824,-0.002868010886053824,-0.002868010886053824,-0.002868010886053824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05238739099195559,0.05238739099195559,-0.060314994477119785,0.05238739099195559,0.05238739099195559,-9.891869660640115,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0025853366789774825,0.0025853366789774825,-0.002868010886053824,0.0025853366789774825,0.0025853366789774825,-0.002868010886053824,-9.891869660640115,-0.002868010886053824,-0.002868010886053824
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9276640901614163,0.9276640901614163,-9.891869660640115,0.9276640901614163,0.9276640901614163,-9.891869660640115,-9.891869660640115,-9.891869660640115,-9.891869660640115
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05238739099195559,0.05238739099195559,-0.060314994477119785,0.05238739099195559,0.9276640901614163,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785,-9.891869660640115
1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.038841361744325,-0.0025899779695124675,0.002862320723227246,-0.0025899779695124675,-0.0025899779695124675,0.002862320723227246,0.002862320723227246,0.002862320723227246,0.002862320723227246
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.038841361744325,-10.038841361744325,1.0746357912656275,-10.038841361744325,-10.038841361744325,1.0746357912656275,1.0746357912656275,1.0746357912656275,1.0746357912656275
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276640901614163,0.05238739099195559,-9.891869660640115,0.05238739099195559,0.05238739099195559,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.04926946318545707,-0.04926946318545707,0.05265939855865536,-10.038841361744325,-0.04926946318545707,0.05265939855865536,0.05265939855865536,0.05265939855865536,0.05265939855865536
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0025853366789774825,0.0025853366789774825,-0.002868010886053824,0.0025853366789774825,-10.038841361744325,-0.002868010886053824,-0.002868010886053824,-0.002868010886053824,-0.002868010886053824
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.05238739099195559,0.05238739099195559,-0.060314994477119785,0.05238739099195559,0.05238739099195559,-9.891869660640115,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0025853366789774825,0.0025853366789774825,-0.002868010886053824,0.0025853366789774825,0.0025853366789774825,-0.002868010886053824,-9.891869660640115,-0.002868010886053824,-0.002868010886053824
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9276640901614163,0.9276640901614163,-9.891869660640115,0.9276640901614163,0.9276640901614163,-9.891869660640115,-9.891869660640115,-9.891869660640115,-9.891869660640115
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05238739099195559,0.05238739099195559,-0.060314994477119785,0.05238739099195559,0.9276640901614163,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785,-9.891869660640115
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.038841361744325,-0.0025899779695124675,0.002862320723227246,-0.0025899779695124675,-0.0025899779695124675,0.002862320723227246,0.002862320723227246,0.002862320723227246,0.002862320723227246
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.038841361744325,-10.038841361744325,1.0746357912656275,-10.038841361744325,-10.038841361744325,1.0746357912656275,1.0746357912656275,1.0746357912656275,1.0746357912656275
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276640901614163,0.05238739099195559,-9.891869660640115,0.05238739099195559,0.05238739099195559,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785,-0.060314994477119785
